"","V1","V2","V3"
"1",0.002439,0.125000,63
"2",0.170732,0.395480,1061
"3",0.480488,0.390873,2844
"4",0.546341,0.402154,1741
"5",0.424390,0.395455,2361
"6",0.346341,0.397759,1621
"7",0.541463,0.389474,3226
"8",0.578049,0.395659,1886
"9",0.112195,0.383333,1026
"10",0.346341,0.381720,2183
"11",0.587805,0.400998,1500
"12",0.114634,0.385246,927
"13",0.602439,0.395200,1602
"14",0.004878,0.181818,303
"15",0.409756,0.395294,1529
"16",0.604878,0.393027,3554
"17",0.514634,0.391466,2224
"18",0.607317,0.390895,2411
"19",0.195122,0.380952,2295
"20",0.587805,0.395731,3370
"21",0.607317,0.396497,1747
"22",0.014634,0.315789,196
"23",0.441463,0.397802,2238
"24",0.034146,0.378378,686
"25",0.441463,0.392625,1777
"26",0.346341,0.395543,1589
"27",0.446341,0.392704,2174
"28",0.412195,0.393939,1843
"29",0.380488,0.393939,2419
"30",0.353659,0.399449,3146
"31",0.002439,0.125000,4
"32",0.514634,0.397363,2669
"33",0.426829,0.395928,2038
"34",0.580488,0.401349,2270
"35",0.573171,0.401024,1514
"36",0.385366,0.401015,1955
"37",0.346341,0.387978,1370
"38",0.497561,0.391555,2411
"39",0.017073,0.304348,447
"40",0.009756,0.266667,441
"41",0.585366,0.397351,2955
"42",0.280488,0.397924,2433
"43",0.417073,0.392202,2893
"44",0.468293,0.398340,2205
"45",0.024390,0.322581,641
"46",0.392683,0.386091,1570
"47",0.100000,0.383178,1082
"48",0.670732,0.397399,1646
"49",0.621951,0.394127,3057
"50",0.002439,0.125000,150
"51",0.512195,0.387454,1842
"52",0.070732,0.386667,1126
"53",0.002439,0.111111,10
"54",0.343902,0.389503,2405
"55",0.634146,0.392749,1575
"56",0.558537,0.393471,2285
"57",0.656098,0.398519,2057
"58",0.402439,0.392857,1528
"59",0.546341,0.400716,1938
"60",0.297561,0.391026,1675
"61",0.648780,0.390029,2326
"62",0.580488,0.391447,1766
"63",0.668293,0.394245,1934
"64",0.424390,0.410377,1581
"65",0.402439,0.387324,2386
"66",0.302439,0.391167,1972
"67",0.280488,0.396552,1613
"68",0.090244,0.389474,897
"69",0.163415,0.394118,877
"70",0.563415,0.398276,2342
"71",0.431707,0.385621,2083
"72",0.002439,0.125000,94
"73",0.565854,0.399312,2232
"74",0.019512,0.320000,296
"75",0.051220,0.328125,971
"76",0.082927,0.377778,1046
"77",0.543902,0.393298,1652
"78",0.595122,0.395462,2770
"79",0.334146,0.389205,1760
"80",0.239024,0.398374,1909
"81",0.334146,0.387006,1459
"82",0.539024,0.396768,2420
"83",0.002439,0.125000,70
"84",0.409756,0.388889,1751
"85",0.517073,0.403042,2580
"86",0.229268,0.400000,1826
"87",0.443902,0.401766,1541
"88",0.002439,0.125000,106
"89",0.429268,0.391111,1930
"90",0.270732,0.385417,1898
"91",0.368293,0.400531,1852
"92",0.004878,0.166667,224
"93",0.124390,0.383459,1667
"94",0.546341,0.396460,2488
"95",0.587805,0.383148,2560
"96",0.441463,0.393478,1696
"97",0.009756,0.266667,318
"98",0.007317,0.200000,276
"99",0.400000,0.397094,2257
"100",0.431707,0.394209,1677
"101",0.207317,0.391705,1482
"102",0.453659,0.397436,1570
"103",0.282927,0.402778,3462
"104",0.468293,0.393443,2092
"105",0.158537,0.384615,1053
"106",0.497561,0.396116,2210
"107",0.556098,0.400000,1832
"108",0.007317,0.200000,227
"109",0.304878,0.398089,2718
"110",0.421951,0.396789,1996
"111",0.634146,0.392749,1702
"112",0.012195,0.277778,362
"113",0.612195,0.396524,2447
"114",0.234146,0.391837,1679
"115",0.002439,0.125000,76
"116",0.458537,0.394958,2604
"117",0.275610,0.389655,1150
"118",0.004878,0.181818,328
"119",0.504878,0.401163,2249
"120",0.585366,0.397351,2068
"121",0.487805,0.389864,2471
"122",0.002439,0.125000,26
"123",0.431707,0.399549,1941
"124",0.514634,0.391466,1867
"125",0.002439,0.125000,94
"126",0.002439,0.125000,134
"127",0.019512,0.333333,493
"128",0.007317,0.230769,292
"129",0.534146,0.387611,2243
"130",0.480488,0.397980,2415
"131",0.043902,0.339623,518
"132",0.024390,0.357143,607
"133",0.009756,0.222222,233
"134",0.563415,0.390863,3284
"135",0.658537,0.398818,2058
"136",0.273171,0.384880,2345
"137",0.521951,0.389091,1971
"138",0.002439,0.125000,84
"139",0.009756,0.250000,298
"140",0.021951,0.333333,694
"141",0.373171,0.390306,2936
"142",0.617073,0.392857,2133
"143",0.029268,0.315789,575
"144",0.575610,0.389439,1561
"145",0.526829,0.397790,1712
"146",0.209756,0.398148,1180
"147",0.007317,0.230769,117
"148",0.007317,0.214286,216
"149",0.597561,0.399674,2287
"150",0.292683,0.396040,2072
"151",0.580488,0.391447,3419
"152",0.504878,0.391304,2548
"153",0.021951,0.333333,424
"154",0.314634,0.392097,1440
"155",0.478049,0.389662,2289
"156",0.126829,0.385185,1103
"157",0.582927,0.400335,1703
"158",0.531707,0.393502,2096
"159",0.009756,0.285714,318
"160",0.648780,0.397608,2214
"161",0.009756,0.250000,167
"162",0.002439,0.125000,137
"163",0.273171,0.391608,1871
"164",0.002439,0.125000,51
"165",0.595122,0.396748,2735
"166",0.014634,0.300000,328
"167",0.531707,0.386525,1635
"168",0.419512,0.396313,2008
"169",0.004878,0.181818,332
"170",0.017073,0.291667,386
"171",0.390244,0.382775,1929
"172",0.395122,0.413265,1571
"173",0.409756,0.381818,2124
"174",0.563415,0.391525,1806
"175",0.526829,0.397059,2518
"176",0.517073,0.392593,2862
"177",0.182927,0.388601,1783
"178",0.292683,0.392157,1389
"179",0.007317,0.230769,308
"180",0.639024,0.403698,2362
"181",0.109756,0.381356,1560
"182",0.090244,0.389474,859
"183",0.531707,0.395644,1808
"184",0.565854,0.391892,3278
"185",0.504878,0.392045,2000
"186",0.614634,0.392523,1851
"187",0.546341,0.386874,2236
"188",0.504878,0.388368,2197
"189",0.017073,0.304348,312
"190",0.014634,0.285714,456
"191",0.453659,0.396588,1858
"192",0.258537,0.389706,1620
"193",0.463415,0.397490,2952
"194",0.556098,0.391753,1824
"195",0.641463,0.386197,2163
"196",0.017073,0.318182,204
"197",0.185366,0.391753,2232
"198",0.592683,0.390675,2433
"199",0.021951,0.321429,370
"200",0.382927,0.391521,1843
"201",0.275610,0.384354,1201
"202",0.402439,0.390995,1859
"203",0.046341,0.365385,1134
"204",0.536585,0.394973,1415
"205",0.039024,0.347826,505
"206",0.465854,0.393004,1798
"207",0.109756,0.381356,1089
"208",0.434146,0.394679,1370
"209",0.243902,0.392157,1459
"210",0.460976,0.392116,2259
"211",0.397561,0.387173,3741
"212",0.346341,0.393352,2325
"213",0.380488,0.390000,1819
"214",0.502439,0.394636,1494
"215",0.421951,0.396789,1821
"216",0.343902,0.393855,2888
"217",0.285366,0.390000,1953
"218",0.553659,0.398246,2058
"219",0.582927,0.387358,2160
"220",0.719512,0.388158,2321
"221",0.436585,0.388286,1792
"222",0.009756,0.285714,355
"223",0.480488,0.390099,1339
"224",0.490244,0.396450,3306
"225",0.002439,0.125000,4
"226",0.409756,0.400955,1753
"227",0.004878,0.181818,74
"228",0.519512,0.389397,1831
"229",0.463415,0.405117,1570
"230",0.651219,0.397914,1893
"231",0.658537,0.394161,5120
"232",0.326829,0.395280,1833
"233",0.002439,0.125000,77
"234",0.002439,0.111111,197
"235",0.468293,0.391837,2295
"236",0.007317,0.230769,336
"237",0.002439,0.111111,145
"238",0.180488,0.391534,1165
"239",0.048780,0.357143,842
"240",0.631707,0.383136,2234
"241",0.614634,0.397476,1605
"242",0.002439,0.111111,72
"243",0.048780,0.370370,944
"244",0.587805,0.398347,2590
"245",0.026829,0.314286,682
"246",0.512195,0.391791,2102
"247",0.400000,0.397094,2010
"248",0.134146,0.361842,1255
"249",0.402439,0.397590,2577
"250",0.621951,0.394127,1960
"251",0.521951,0.383513,2358
"252",0.348780,0.400560,3367
"253",0.090244,0.377551,803
"254",0.517073,0.394052,2218
"255",0.409756,0.399050,2527
"256",0.336585,0.400000,1537
"257",0.004878,0.200000,207
"258",0.004878,0.200000,160
"259",0.004878,0.181818,229
"260",0.036585,0.333333,447
"261",0.024390,0.357143,365
"262",0.209756,0.385650,1408
"263",0.560976,0.399306,2529
"264",0.002439,0.125000,408
"265",0.009756,0.266667,228
"266",0.309756,0.386018,2126
"267",0.002439,0.125000,140
"268",0.514634,0.389299,2513
"269",0.531707,0.392086,3018
"270",0.009756,0.266667,310
"271",0.492683,0.395303,2631
"272",0.575610,0.393333,2218
"273",0.463415,0.400844,2290
"274",0.021951,0.310345,555
"275",0.236585,0.400826,1946
"276",0.490244,0.401198,2076
"277",0.531707,0.384480,2345
"278",0.331707,0.398827,2327
"279",0.426829,0.395034,1974
"280",0.517073,0.392593,3205
"281",0.553659,0.397548,1990
"282",0.217073,0.392070,1333
"283",0.021951,0.310345,632
"284",0.453659,0.396588,1708
"285",0.490244,0.402000,3232
"286",0.343902,0.397183,1962
"287",0.009756,0.250000,544
"288",0.304878,0.389408,1420
"289",0.517073,0.388278,2177
"290",0.009756,0.250000,251
"291",0.585366,0.392799,2343
"292",0.529268,0.397436,2499
