"","V1","V2","V3"
"1",0.035503,0.342857,593
"2",0.005917,0.200000,141
"3",0.053254,0.333333,524
"4",0.011834,0.250000,314
"5",0.002959,0.111111,4
"6",0.065089,0.354839,872
"7",0.011834,0.266667,306
"8",0.171598,0.384106,1496
"9",0.136095,0.380165,806
"10",0.017751,0.285714,490
"11",0.011834,0.250000,121
"12",0.005917,0.200000,141
"13",0.008876,0.214286,367
"14",0.414201,0.384615,3439
"15",0.053254,0.346154,590
"16",0.073964,0.362319,730
"17",0.213018,0.400000,1112
"18",0.002959,0.111111,150
"19",0.002959,0.125000,144
"20",0.118343,0.377358,941
"21",0.068047,0.365079,758
"22",0.002959,0.125000,83
"23",0.005917,0.181818,178
"24",0.002959,0.125000,77
"25",0.056213,0.345455,507
"26",0.017751,0.260870,384
"27",0.127219,0.377193,1284
"28",0.130178,0.379310,947
"29",0.014793,0.263158,531
"30",0.082840,0.388889,756
"31",0.002959,0.125000,186
"32",0.301775,0.383459,2473
"33",0.041420,0.350000,569
"34",0.011834,0.266667,364
"35",0.002959,0.125000,154
"36",0.008876,0.230769,276
"37",0.029586,0.322581,620
"38",0.136095,0.380165,796
"39",0.002959,0.125000,183
"40",0.002959,0.125000,266
"41",0.124260,0.365217,1150
"42",0.008876,0.230769,241
"43",0.050296,0.354167,1218
"44",0.005917,0.200000,58
"45",0.304734,0.397683,2505
"46",0.147929,0.381679,1147
"47",0.002959,0.111111,95
"48",0.236686,0.386473,1164
"49",0.002959,0.125000,263
"50",0.008876,0.214286,374
"51",0.002959,0.125000,143
"52",0.088757,0.370370,1345
"53",0.251479,0.384615,1801
"54",0.005917,0.181818,136
"55",0.041420,0.350000,731
"56",0.005917,0.200000,90
"57",0.242604,0.396135,1772
"58",0.008876,0.230769,200
"59",0.011834,0.266667,302
"60",0.005917,0.181818,302
"61",0.062130,0.375000,578
"62",0.334320,0.393728,2067
"63",0.017751,0.272727,408
"64",0.236686,0.388350,1667
"65",0.005917,0.200000,188
"66",0.239645,0.375000,1093
"67",0.357988,0.400662,1864
"68",0.002959,0.111111,140
"69",0.005917,0.200000,86
"70",0.044379,0.326087,740
"71",0.005917,0.181818,128
"72",0.002959,0.125000,56
"73",0.017751,0.315789,451
"74",0.008876,0.230769,124
"75",0.008876,0.200000,377
"76",0.263314,0.378723,1416
"77",0.002959,0.125000,4
"78",0.029586,0.344828,691
"79",0.198225,0.380682,1715
"80",0.118343,0.396040,788
"81",0.275148,0.397436,998
"82",0.002959,0.125000,270
"83",0.008876,0.250000,197
"84",0.100592,0.390805,1354
"85",0.002959,0.125000,253
"86",0.005917,0.181818,220
"87",0.005917,0.200000,193
"88",0.053254,0.346154,909
"89",0.002959,0.125000,344
"90",0.218935,0.389474,2151
"91",0.047337,0.355556,789
"92",0.032544,0.343750,725
"93",0.023669,0.320000,673
"94",0.127219,0.361345,1290
"95",0.109467,0.362745,857
"96",0.002959,0.125000,169
"97",0.032544,0.323529,573
"98",0.002959,0.111111,192
"99",0.059172,0.363636,601
"100",0.002959,0.125000,101
"101",0.002959,0.125000,124
"102",0.082840,0.383562,697
"103",0.186391,0.401274,2001
"104",0.020710,0.304348,459
"105",0.005917,0.200000,214
"106",0.035503,0.315789,509
"107",0.017751,0.272727,309
"108",0.068047,0.359375,1078
"109",0.002959,0.125000,120
"110",0.056213,0.380000,414
"111",0.056213,0.351852,628
"112",0.008876,0.250000,531
"113",0.008876,0.250000,211
"114",0.162722,0.395683,1014
"115",0.121302,0.379630,1254
"116",0.002959,0.125000,129
"117",0.005917,0.166667,376
"118",0.156805,0.370629,1187
"119",0.201183,0.397661,2083
"120",0.227811,0.383085,2159
"121",0.343195,0.391892,1562
"122",0.020710,0.333333,675
"123",0.159763,0.382979,1624
"124",0.017751,0.260870,495
"125",0.047337,0.333333,531
"126",0.008876,0.250000,85
"127",0.147929,0.378788,1190
"128",0.177515,0.379747,1433
"129",0.002959,0.125000,233
"130",0.278107,0.382114,2199
"131",0.053254,0.352941,594
"132",0.005917,0.166667,178
"133",0.005917,0.166667,198
"134",0.136095,0.380165,947
"135",0.008876,0.230769,150
"136",0.011834,0.250000,323
"137",0.014793,0.263158,347
"138",0.017751,0.285714,403
"139",0.017751,0.272727,407
"140",0.088757,0.361446,1040
"141",0.008876,0.214286,281
"142",0.005917,0.166667,143
"143",0.106509,0.367347,980
"144",0.002959,0.125000,203
"145",0.310651,0.390335,1597
"146",0.017751,0.285714,478
"147",0.011834,0.250000,384
"148",0.044379,0.340909,587
"149",0.079882,0.375000,568
"150",0.008876,0.214286,410
"151",0.002959,0.125000,158
"152",0.192308,0.382353,1270
"153",0.147929,0.393701,1198
"154",0.124260,0.371681,1171
"155",0.094675,0.385542,1302
"156",0.005917,0.200000,256
"157",0.224852,0.393782,1393
"158",0.005917,0.166667,224
"159",0.002959,0.111111,266
"160",0.008876,0.214286,113
"161",0.124260,0.392523,2419
"162",0.008876,0.200000,628
"163",0.056213,0.380000,725
"164",0.014793,0.294118,237
"165",0.011834,0.235294,268
"166",0.020710,0.318182,437
"167",0.002959,0.111111,4
"168",0.029586,0.322581,678
"169",0.062130,0.375000,768
"170",0.103550,0.372340,1357
"171",0.159763,0.367347,1055
"172",0.325444,0.375427,1509
"173",0.023669,0.296296,430
"174",0.023669,0.285714,596
"175",0.076923,0.382353,628
"176",0.142012,0.384000,2779
"177",0.008876,0.230769,274
"178",0.062130,0.368421,802
"179",0.008876,0.214286,255
"180",0.005917,0.181818,199
"181",0.017751,0.272727,327
"182",0.082840,0.388889,672
"183",0.056213,0.358491,662
"184",0.124260,0.358974,1554
"185",0.124260,0.396226,776
"186",0.002959,0.125000,197
"187",0.071006,0.375000,971
"188",0.038462,0.342105,582
"189",0.002959,0.125000,250
"190",0.032544,0.343750,907
"191",0.002959,0.125000,74
"192",0.002959,0.111111,4
"193",0.005917,0.181818,189
"194",0.020710,0.280000,389
"195",0.322485,0.393502,1277
"196",0.011834,0.285714,219
"197",0.050296,0.346939,911
"198",0.005917,0.166667,248
"199",0.008876,0.230769,547
"200",0.494083,0.383028,1833
"201",0.017751,0.315789,187
"202",0.053254,0.339623,611
"203",0.050296,0.369565,556
"204",0.020710,0.304348,377
"205",0.020710,0.291667,493
"206",0.097633,0.362637,585
"207",0.331361,0.379661,1295
"208",0.005917,0.181818,317
"209",0.026627,0.346154,555
"210",0.032544,0.314286,758
"211",0.002959,0.111111,171
"212",0.044379,0.340909,534
"213",0.008876,0.230769,319
"214",0.008876,0.214286,216
"215",0.002959,0.125000,310
"216",0.375740,0.389571,1415
"217",0.068047,0.377049,822
"218",0.127219,0.373913,1083
"219",0.023669,0.296296,274
"220",0.207101,0.374332,1451
"221",0.295858,0.389105,1865
"222",0.023669,0.296296,502
"223",0.068047,0.353846,714
"224",0.127219,0.373913,1284
"225",0.071006,0.358209,814
"226",0.002959,0.125000,23
"227",0.011834,0.285714,244
"228",0.008876,0.214286,198
"229",0.443787,0.392670,1438
"230",0.008876,0.214286,217
"231",0.002959,0.125000,103
"232",0.162722,0.387324,1377
"233",0.047337,0.313726,606
