"","V1","V2","V3"
"1",0.026087,0.250000,265
"2",0.008696,0.125000,305
"3",0.008696,0.111111,135
"4",0.008696,0.125000,233
"5",0.008696,0.125000,140
"6",0.008696,0.111111,101
"7",0.017391,0.200000,252
"8",0.017391,0.181818,202
"9",0.043478,0.263158,650
"10",0.034783,0.222222,412
"11",0.017391,0.181818,151
"12",0.008696,0.111111,131
"13",0.008696,0.125000,77
"14",0.008696,0.125000,364
"15",0.008696,0.125000,237
"16",0.008696,0.125000,127
"17",0.008696,0.111111,303
"18",0.017391,0.181818,334
"19",0.008696,0.111111,210
"20",0.034783,0.250000,289
"21",0.008696,0.125000,56
"22",0.008696,0.125000,385
"23",0.008696,0.125000,96
"24",0.017391,0.166667,224
"25",0.008696,0.125000,78
"26",0.052174,0.272727,643
"27",0.017391,0.166667,245
"28",0.017391,0.166667,208
"29",0.008696,0.111111,70
"30",0.017391,0.200000,345
"31",0.008696,0.111111,89
"32",0.034783,0.235294,190
"33",0.008696,0.111111,256
"34",0.034783,0.250000,355
"35",0.008696,0.111111,30
"36",0.008696,0.125000,256
"37",0.008696,0.111111,268
"38",0.008696,0.125000,139
"39",0.026087,0.250000,249
"40",0.043478,0.294118,311
"41",0.008696,0.111111,124
"42",0.008696,0.111111,74
"43",0.008696,0.125000,141
"44",0.008696,0.125000,123
"45",0.008696,0.111111,397
"46",0.008696,0.125000,258
"47",0.017391,0.181818,296
"48",0.008696,0.125000,68
"49",0.008696,0.111111,132
"50",0.008696,0.125000,125
"51",0.026087,0.214286,348
"52",0.017391,0.166667,113
"53",0.043478,0.277778,344
"54",0.034783,0.222222,427
"55",0.008696,0.111111,130
"56",0.017391,0.200000,327
"57",0.026087,0.200000,201
"58",0.008696,0.111111,25
"59",0.026087,0.230769,158
"60",0.017391,0.200000,135
"61",0.008696,0.111111,4
"62",0.008696,0.125000,48
"63",0.026087,0.230769,462
"64",0.008696,0.125000,129
"65",0.008696,0.111111,212
"66",0.017391,0.181818,331
"67",0.008696,0.125000,44
"68",0.008696,0.125000,83
"69",0.008696,0.111111,147
"70",0.008696,0.125000,274
"71",0.008696,0.125000,108
"72",0.026087,0.250000,259
"73",0.008696,0.125000,165
"74",0.008696,0.125000,75
"75",0.008696,0.111111,336
"76",0.026087,0.230769,399
"77",0.026087,0.230769,199
"78",0.017391,0.200000,60
"79",0.008696,0.111111,166
"80",0.017391,0.181818,380
"81",0.026087,0.230769,341
"82",0.017391,0.200000,149
"83",0.017391,0.181818,161
"84",0.008696,0.125000,95
"85",0.017391,0.181818,87
"86",0.026087,0.230769,325
"87",0.008696,0.111111,167
"88",0.034783,0.250000,301
"89",0.008696,0.125000,266
"90",0.008696,0.111111,339
"91",0.008696,0.111111,166
"92",0.008696,0.125000,91
"93",0.008696,0.111111,154
"94",0.060870,0.291667,396
