"","V1","V2","V3"
"1",0.671296,0.401662,1765
"2",0.692130,0.393939,3072
"3",0.546296,0.392027,1736
"4",0.516204,0.393993,2741
"5",0.662037,0.389116,2046
"6",0.118056,0.383459,846
"7",0.631944,0.403846,2061
"8",0.608796,0.394895,2456
"9",0.043981,0.358491,682
"10",0.013889,0.333333,286
"11",0.500000,0.399261,2730
"12",0.416667,0.394737,3091
"13",0.414352,0.397778,3446
"14",0.652778,0.401709,2735
"15",0.016204,0.304348,747
"16",0.002315,0.111111,286
"17",0.574074,0.391167,1404
"18",0.481481,0.392453,1760
"19",0.611111,0.400607,2318
"20",0.011574,0.250000,421
"21",0.555556,0.401338,1763
"22",0.773148,0.396675,2081
"23",0.418981,0.386752,2167
"24",0.097222,0.388889,1659
"25",0.048611,0.355932,928
"26",0.004630,0.200000,294
"27",0.583333,0.387692,2193
"28",0.416667,0.387097,1193
"29",0.564815,0.398693,2530
"30",0.629630,0.398243,2193
"31",0.648148,0.391608,2000
"32",0.520833,0.394046,1977
"33",0.615741,0.392330,1538
"34",0.539352,0.394915,2821
"35",0.016204,0.291667,698
"36",0.594907,0.400936,1961
"37",0.574074,0.403909,1669
"38",0.002315,0.111111,169
"39",0.013889,0.300000,549
"40",0.004630,0.181818,76
"41",0.564815,0.398042,5107
"42",0.634259,0.388102,2687
"43",0.557870,0.398347,1658
"44",0.449074,0.395918,2337
"45",0.576389,0.394612,2630
"46",0.520833,0.392670,3529
"47",0.532407,0.392491,1970
"48",0.004630,0.181818,218
"49",0.627315,0.392754,2263
"50",0.548611,0.392384,1896
"51",0.520833,0.396825,1937
"52",0.543981,0.389718,3416
"53",0.634259,0.395954,2938
"54",0.541667,0.404145,3525
"55",0.701389,0.397117,2012
"56",0.622685,0.387608,2292
"57",0.613426,0.400908,2703
"58",0.479167,0.396552,1857
"59",0.456019,0.398785,2052
"60",0.571759,0.396469,3434
"61",0.671296,0.399449,2816
"62",0.009259,0.250000,479
"63",0.553241,0.400335,1936
"64",0.004630,0.200000,207
"65",0.696759,0.391927,4112
"66",0.164352,0.396648,1408
"67",0.442130,0.395445,4056
"68",0.550926,0.397993,3115
"69",0.009259,0.266667,249
"70",0.523148,0.398589,2716
"71",0.002315,0.125000,159
"72",0.564815,0.394184,2004
"73",0.002315,0.125000,156
"74",0.696759,0.391417,2275
"75",0.523148,0.391003,2042
"76",0.743056,0.398263,2384
"77",0.548611,0.396985,2002
"78",0.004630,0.181818,283
"79",0.337963,0.392473,2725
"80",0.740741,0.395062,1895
"81",0.030093,0.342105,740
"82",0.599537,0.394817,2090
"83",0.594907,0.391768,1698
"84",0.662037,0.397775,2597
"85",0.643519,0.396011,2169
"86",0.682870,0.397574,2454
"87",0.004630,0.200000,177
"88",0.312500,0.398230,1653
"89",0.694444,0.397351,2643
"90",0.766204,0.397359,2116
"91",0.002315,0.111111,21
"92",0.662037,0.408571,2314
"93",0.567130,0.404290,2386
"94",0.659722,0.391484,1648
"95",0.666667,0.396149,1739
"96",0.594907,0.394777,2661
"97",0.451389,0.398773,2345
"98",0.305556,0.392857,1900
"99",0.594907,0.404724,2546
"100",0.398148,0.398148,1632
"101",0.006944,0.230769,321
"102",0.002315,0.125000,82
"103",0.666667,0.399445,2914
"104",0.643519,0.399425,2136
"105",0.180556,0.384236,1740
"106",0.555556,0.402010,2611
"107",0.578704,0.391236,2362
"108",0.666667,0.395062,1586
"109",0.712963,0.396907,2015
"110",0.504630,0.399267,1724
"111",0.421296,0.393939,1849
"112",0.645833,0.396307,1660
"113",0.562500,0.397059,2226
"114",0.562500,0.397709,2224
"115",0.636574,0.402635,2609
"116",0.666667,0.401114,3639
"117",0.023148,0.357143,466
"118",0.562500,0.395122,2094
"119",0.479167,0.393536,2368
"120",0.643519,0.402899,2467
"121",0.594907,0.397833,2812
"122",0.474537,0.396518,2078
"123",0.673611,0.393243,2083
"124",0.016204,0.333333,526
"125",0.592593,0.383808,2352
"126",0.208333,0.384615,1428
"127",0.604167,0.399694,2350
"128",0.592593,0.393241,1995
"129",0.671296,0.402778,1974
"130",0.655093,0.398592,1992
"131",0.004630,0.200000,111
"132",0.638889,0.401747,2276
"133",0.625000,0.391304,2399
"134",0.650463,0.393557,1617
"135",0.004630,0.181818,110
"136",0.696759,0.399204,2689
"137",0.638889,0.400000,2177
"138",0.013889,0.272727,409
"139",0.002315,0.111111,151
"140",0.622685,0.396755,2407
"141",0.611111,0.398792,2568
"142",0.645833,0.398003,2130
"143",0.567130,0.382813,1646
"144",0.034722,0.326087,601
"145",0.009259,0.285714,311
"146",0.168981,0.403315,1267
"147",0.013889,0.300000,250
"148",0.638889,0.397695,2794
"149",0.016204,0.269231,392
"150",0.534722,0.398276,2114
"151",0.472222,0.394584,1828
