"","V1","V2","V3"
"1",0.007353,0.111111,331
"2",0.007353,0.111111,72
"3",0.014706,0.166667,268
"4",0.007353,0.111111,355
"5",0.007353,0.125000,181
"6",0.014706,0.181818,370
"7",0.007353,0.111111,79
"8",0.014706,0.181818,256
"9",0.051471,0.291667,757
"10",0.014706,0.200000,125
"11",0.007353,0.111111,112
"12",0.036765,0.263158,298
"13",0.014706,0.181818,378
"14",0.007353,0.125000,266
"15",0.014706,0.181818,313
"16",0.007353,0.125000,186
"17",0.014706,0.181818,167
"18",0.022059,0.230769,203
"19",0.007353,0.125000,7
"20",0.007353,0.125000,139
"21",0.007353,0.125000,343
"22",0.007353,0.125000,237
"23",0.051471,0.291667,391
"24",0.029412,0.266667,296
"25",0.014706,0.181818,224
"26",0.029412,0.250000,475
"27",0.022059,0.230769,112
"28",0.014706,0.181818,142
"29",0.036765,0.312500,451
"30",0.036765,0.250000,500
"31",0.007353,0.111111,151
"32",0.007353,0.125000,104
"33",0.014706,0.181818,144
"34",0.007353,0.125000,224
"35",0.007353,0.125000,195
"36",0.007353,0.125000,132
"37",0.007353,0.111111,326
"38",0.029412,0.235294,319
"39",0.036765,0.263158,374
"40",0.007353,0.125000,16
"41",0.022059,0.230769,279
"42",0.007353,0.125000,197
"43",0.007353,0.111111,185
"44",0.022059,0.230769,532
"45",0.007353,0.111111,81
"46",0.036765,0.277778,310
"47",0.014706,0.200000,119
"48",0.022059,0.214286,338
"49",0.014706,0.200000,96
"50",0.022059,0.214286,114
"51",0.014706,0.200000,124
"52",0.007353,0.125000,94
"53",0.007353,0.111111,107
"54",0.007353,0.125000,46
"55",0.007353,0.125000,112
"56",0.014706,0.181818,276
"57",0.022059,0.230769,319
"58",0.014706,0.166667,189
"59",0.014706,0.181818,242
"60",0.007353,0.111111,65
"61",0.022059,0.250000,260
"62",0.014706,0.181818,240
"63",0.007353,0.111111,122
"64",0.014706,0.200000,283
"65",0.007353,0.125000,162
"66",0.014706,0.181818,183
"67",0.007353,0.111111,149
"68",0.007353,0.125000,113
"69",0.036765,0.263158,582
"70",0.007353,0.125000,330
"71",0.007353,0.111111,231
"72",0.014706,0.200000,241
"73",0.014706,0.166667,194
"74",0.029412,0.250000,195
"75",0.036765,0.312500,237
"76",0.007353,0.111111,147
"77",0.007353,0.111111,153
"78",0.007353,0.125000,142
"79",0.007353,0.125000,99
"80",0.007353,0.111111,218
"81",0.007353,0.125000,43
"82",0.036765,0.263158,556
"83",0.014706,0.181818,241
"84",0.014706,0.181818,278
"85",0.022059,0.214286,315
"86",0.022059,0.200000,195
"87",0.029412,0.285714,395
"88",0.022059,0.230769,236
"89",0.007353,0.125000,267
"90",0.014706,0.181818,208
"91",0.007353,0.125000,179
"92",0.007353,0.125000,155
"93",0.007353,0.111111,104
