"","V1","V2","V3"
"1",0.005155,0.125000,91
"2",0.005155,0.125000,73
"3",0.005155,0.111111,110
"4",0.056701,0.333333,433
"5",0.015464,0.214286,402
"6",0.046392,0.375000,762
"7",0.025773,0.277778,263
"8",0.005155,0.125000,90
"9",0.010309,0.166667,99
"10",0.010309,0.181818,168
"11",0.020619,0.266667,182
"12",0.015464,0.230769,128
"13",0.030928,0.285714,418
"14",0.005155,0.125000,183
"15",0.010309,0.181818,149
"16",0.025773,0.294118,504
"17",0.005155,0.125000,135
"18",0.015464,0.214286,503
"19",0.005155,0.125000,86
"20",0.005155,0.125000,97
"21",0.020619,0.250000,244
"22",0.005155,0.111111,229
"23",0.005155,0.111111,72
"24",0.010309,0.181818,456
"25",0.015464,0.214286,398
"26",0.005155,0.125000,120
"27",0.061856,0.352941,510
"28",0.010309,0.181818,165
"29",0.005155,0.111111,70
"30",0.020619,0.266667,250
"31",0.015464,0.250000,288
"32",0.005155,0.111111,211
"33",0.046392,0.333333,623
"34",0.010309,0.181818,323
"35",0.020619,0.235294,302
"36",0.005155,0.125000,68
"37",0.005155,0.111111,249
"38",0.015464,0.250000,322
"39",0.051546,0.322581,566
"40",0.005155,0.111111,8
"41",0.046392,0.321429,552
"42",0.005155,0.111111,99
"43",0.010309,0.181818,289
"44",0.036082,0.304348,568
"45",0.010309,0.181818,283
"46",0.005155,0.125000,215
"47",0.015464,0.250000,213
"48",0.005155,0.125000,172
"49",0.025773,0.250000,248
"50",0.010309,0.200000,113
"51",0.025773,0.277778,380
"52",0.025773,0.263158,338
"53",0.010309,0.181818,204
"54",0.010309,0.181818,181
"55",0.030928,0.285714,234
"56",0.010309,0.200000,305
"57",0.015464,0.230769,263
"58",0.010309,0.181818,256
"59",0.020619,0.266667,214
"60",0.005155,0.125000,107
"61",0.010309,0.181818,439
"62",0.005155,0.111111,136
"63",0.020619,0.235294,605
"64",0.005155,0.125000,263
"65",0.005155,0.111111,39
"66",0.010309,0.200000,436
"67",0.005155,0.111111,221
"68",0.010309,0.166667,187
"69",0.010309,0.181818,212
"70",0.020619,0.250000,313
"71",0.005155,0.111111,4
"72",0.015464,0.230769,384
"73",0.005155,0.125000,136
"74",0.005155,0.125000,134
"75",0.025773,0.277778,493
"76",0.005155,0.111111,85
"77",0.005155,0.125000,4
"78",0.010309,0.200000,306
"79",0.005155,0.111111,168
"80",0.113402,0.349206,642
"81",0.005155,0.125000,82
"82",0.010309,0.181818,392
"83",0.020619,0.285714,180
"84",0.015464,0.230769,310
"85",0.005155,0.111111,181
"86",0.005155,0.125000,121
"87",0.010309,0.166667,365
"88",0.005155,0.125000,74
"89",0.061856,0.352941,418
"90",0.025773,0.263158,603
"91",0.015464,0.214286,263
"92",0.010309,0.200000,114
"93",0.005155,0.111111,173
"94",0.020619,0.266667,284
"95",0.030928,0.315789,233
"96",0.020619,0.285714,346
"97",0.005155,0.111111,217
"98",0.025773,0.277778,307
"99",0.015464,0.230769,261
"100",0.020619,0.222222,357
"101",0.041237,0.285714,689
"102",0.005155,0.125000,155
"103",0.051546,0.333333,565
"104",0.061856,0.315789,590
"105",0.046392,0.333333,572
"106",0.025773,0.250000,430
"107",0.015464,0.230769,270
"108",0.005155,0.125000,275
"109",0.005155,0.125000,285
"110",0.020619,0.250000,458
"111",0.020619,0.266667,512
"112",0.005155,0.125000,92
"113",0.010309,0.181818,177
"114",0.005155,0.111111,212
"115",0.030928,0.285714,360
"116",0.005155,0.125000,125
"117",0.010309,0.200000,241
"118",0.005155,0.125000,83
"119",0.010309,0.200000,274
"120",0.010309,0.181818,157
"121",0.005155,0.125000,126
"122",0.005155,0.111111,184
"123",0.030928,0.285714,557
"124",0.020619,0.266667,206
"125",0.082474,0.355556,943
"126",0.020619,0.266667,336
"127",0.005155,0.111111,63
"128",0.020619,0.250000,513
"129",0.015464,0.200000,96
"130",0.005155,0.111111,114
"131",0.005155,0.125000,88
"132",0.005155,0.125000,70
"133",0.005155,0.111111,144
"134",0.067010,0.325000,526
"135",0.020619,0.285714,275
"136",0.010309,0.166667,179
"137",0.010309,0.181818,236
"138",0.030928,0.315789,342
"139",0.005155,0.111111,75
"140",0.005155,0.125000,70
"141",0.005155,0.125000,216
"142",0.005155,0.111111,100
"143",0.010309,0.200000,151
"144",0.005155,0.111111,31
"145",0.015464,0.200000,266
"146",0.056701,0.314286,406
"147",0.005155,0.125000,28
"148",0.005155,0.125000,326
"149",0.005155,0.125000,117
