"","V1","V2","V3"
"1",0.005556,0.200000,405
"2",0.013889,0.263158,388
"3",0.002778,0.111111,122
"4",0.186111,0.389535,1857
"5",0.352778,0.396875,2584
"6",0.022222,0.307692,829
"7",0.002778,0.125000,138
"8",0.086111,0.364706,1086
"9",0.136111,0.374046,1911
"10",0.002778,0.125000,120
"11",0.008333,0.250000,209
"12",0.200000,0.380952,1599
"13",0.300000,0.400000,1679
"14",0.130556,0.391667,1022
"15",0.125000,0.381356,1501
"16",0.002778,0.125000,120
"17",0.316667,0.381271,2026
"18",0.025000,0.321429,496
"19",0.013889,0.294118,523
"20",0.161111,0.381579,1268
"21",0.013889,0.277778,369
"22",0.027778,0.370370,854
"23",0.008333,0.250000,130
"24",0.288889,0.388060,1346
"25",0.041667,0.348837,460
"26",0.033333,0.352941,647
"27",0.100000,0.363636,874
"28",0.005556,0.200000,54
"29",0.011111,0.235294,409
"30",0.063889,0.370968,1078
"31",0.013889,0.277778,290
"32",0.072222,0.366197,870
"33",0.272222,0.395161,1691
"34",0.427778,0.383085,1504
"35",0.005556,0.181818,219
"36",0.383333,0.382271,1528
"37",0.011111,0.285714,379
"38",0.011111,0.266667,172
"39",0.130556,0.379032,1223
"40",0.125000,0.378151,1077
"41",0.027778,0.322581,462
"42",0.008333,0.230769,54
"43",0.463889,0.398568,2035
"44",0.005556,0.181818,313
"45",0.202778,0.380208,1475
"46",0.191667,0.372973,1511
"47",0.191667,0.383333,1444
"48",0.577778,0.391714,1840
"49",0.002778,0.111111,33
"50",0.002778,0.125000,56
"51",0.019444,0.318182,370
"52",0.005556,0.181818,15
"53",0.030556,0.343750,552
"54",0.113889,0.376147,1020
"55",0.005556,0.181818,395
"56",0.033333,0.324324,565
"57",0.002778,0.125000,192
"58",0.022222,0.307692,482
"59",0.058333,0.362069,579
"60",0.216667,0.378641,1196
"61",0.002778,0.111111,145
"62",0.269444,0.394309,1785
"63",0.002778,0.125000,389
"64",0.050000,0.339623,692
"65",0.122222,0.396396,1219
"66",0.188889,0.386364,1309
"67",0.005556,0.181818,363
"68",0.361111,0.385757,3042
"69",0.002778,0.125000,66
"70",0.002778,0.111111,107
"71",0.327778,0.392027,1742
"72",0.383333,0.388732,1624
"73",0.197222,0.375661,1244
"74",0.063889,0.343284,664
"75",0.002778,0.111111,85
"76",0.116667,0.378378,976
"77",0.025000,0.321429,901
"78",0.002778,0.125000,156
"79",0.275000,0.392857,1629
"80",0.005556,0.181818,247
"81",0.002778,0.125000,115
"82",0.316667,0.385135,2114
"83",0.266667,0.390244,1300
"84",0.183333,0.379310,1709
"85",0.002778,0.125000,161
"86",0.011111,0.235294,410
"87",0.019444,0.291667,499
"88",0.033333,0.342857,477
"89",0.013889,0.263158,240
"90",0.255556,0.391489,1701
"91",0.002778,0.125000,4
"92",0.155556,0.375839,1461
"93",0.077778,0.368421,1019
"94",0.125000,0.381356,981
"95",0.075000,0.364865,1230
"96",0.344444,0.392405,2106
"97",0.002778,0.125000,202
"98",0.008333,0.214286,179
"99",0.002778,0.111111,195
"100",0.263889,0.390947,2028
"101",0.052778,0.351852,930
"102",0.280556,0.396078,1333
"103",0.019444,0.291667,215
