"","V1","V2","V3"
"1",0.084058,0.391892,1074
"2",0.002899,0.125000,115
"3",0.121739,0.378378,1128
"4",0.005797,0.181818,180
"5",0.002899,0.125000,169
"6",0.005797,0.181818,289
"7",0.002899,0.125000,192
"8",0.005797,0.200000,333
"9",0.368116,0.390769,1112
"10",0.211594,0.396739,1121
"11",0.028986,0.294118,534
"12",0.078261,0.380282,659
"13",0.049275,0.369565,512
"14",0.020290,0.304348,504
"15",0.005797,0.200000,201
"16",0.008696,0.230769,351
"17",0.176812,0.376543,1692
"18",0.194203,0.370166,1604
"19",0.072464,0.373134,1043
"20",0.278261,0.384000,2317
"21",0.002899,0.125000,289
"22",0.107246,0.349057,1737
"23",0.057971,0.392157,944
"24",0.040580,0.350000,359
"25",0.002899,0.125000,254
"26",0.005797,0.200000,68
"27",0.011594,0.266667,414
"28",0.237681,0.392345,1397
"29",0.263768,0.392241,1711
"30",0.002899,0.111111,7
"31",0.466667,0.392683,1490
"32",0.182609,0.381818,1400
"33",0.011594,0.250000,383
"34",0.002899,0.111111,299
"35",0.234783,0.400990,1632
"36",0.249275,0.392694,1328
"37",0.026087,0.333333,430
"38",0.084058,0.367089,1003
"39",0.011594,0.250000,382
"40",0.211594,0.376289,1561
"41",0.121739,0.368421,879
"42",0.286957,0.397590,1118
"43",0.011594,0.266667,373
"44",0.055072,0.372549,1031
"45",0.008696,0.230769,246
"46",0.002899,0.111111,95
"47",0.179710,0.397436,1597
"48",0.376812,0.377907,1567
"49",0.371015,0.398754,2729
"50",0.031884,0.305556,671
"51",0.017391,0.272727,631
"52",0.017391,0.272727,249
"53",0.075362,0.376812,717
"54",0.014493,0.250000,236
"55",0.028986,0.357143,633
"56",0.144928,0.387597,1131
"57",0.005797,0.200000,353
"58",0.017391,0.333333,326
"59",0.005797,0.181818,213
"60",0.356522,0.404605,1911
"61",0.028986,0.322581,635
"62",0.023188,0.307692,535
"63",0.002899,0.125000,217
"64",0.002899,0.125000,119
"65",0.336232,0.384106,1567
"66",0.014493,0.294118,310
"67",0.008696,0.214286,401
"68",0.188406,0.375723,1038
"69",0.002899,0.125000,178
"70",0.017391,0.272727,323
"71",0.011594,0.235294,589
"72",0.014493,0.294118,352
"73",0.005797,0.181818,225
"74",0.263768,0.372951,2145
"75",0.055072,0.372549,714
"76",0.057971,0.357143,738
"77",0.028986,0.322581,849
"78",0.115942,0.377358,1228
"79",0.133333,0.389830,1459
"80",0.002899,0.125000,174
"81",0.031884,0.323529,377
"82",0.002899,0.125000,188
"83",0.020290,0.269231,523
"84",0.005797,0.181818,251
"85",0.179710,0.402597,1373
"86",0.031884,0.323529,619
"87",0.376812,0.398773,1595
"88",0.110145,0.365385,1611
"89",0.275362,0.380000,2735
"90",0.037681,0.333333,620
"91",0.008696,0.250000,332
"92",0.092754,0.395062,1818
"93",0.002899,0.111111,267
"94",0.301449,0.389513,1391
"95",0.156522,0.400000,866
"96",0.382609,0.391691,2357
"97",0.005797,0.181818,254
"98",0.017391,0.272727,344
"99",0.023188,0.320000,386
"100",0.002899,0.125000,63
"101",0.020290,0.304348,385
"102",0.002899,0.111111,274
"103",0.011594,0.235294,199
"104",0.014493,0.294118,406
"105",0.315942,0.386525,2090
"106",0.002899,0.125000,147
"107",0.002899,0.125000,129
"108",0.089855,0.392405,795
"109",0.005797,0.181818,160
"110",0.255072,0.376068,1550
"111",0.023188,0.307692,788
"112",0.289855,0.409836,1911
"113",0.142029,0.382813,1184
"114",0.521739,0.383795,2339
"115",0.011594,0.266667,543
"116",0.031884,0.354839,704
"117",0.211594,0.390374,1715
"118",0.031884,0.333333,696
"119",0.037681,0.325000,409
"120",0.185507,0.390244,1115
"121",0.130435,0.387931,1037
"122",0.202899,0.397727,1442
"123",0.113043,0.364486,1500
"124",0.008696,0.230769,135
"125",0.005797,0.200000,116
"126",0.205797,0.375661,1247
"127",0.089855,0.382716,1219
"128",0.127536,0.382609,1314
"129",0.020290,0.333333,458
"130",0.069565,0.369231,939
"131",0.142029,0.398374,1850
"132",0.263768,0.392241,1549
"133",0.040580,0.341463,691
"134",0.263768,0.388889,1410
"135",0.020290,0.291667,384
"136",0.028986,0.312500,553
"137",0.023188,0.333333,288
"138",0.040580,0.350000,482
"139",0.130435,0.391304,978
"140",0.133333,0.377049,1017
"141",0.023188,0.320000,593
"142",0.127536,0.363636,1277
"143",0.023188,0.347826,257
"144",0.026087,0.310345,445
"145",0.002899,0.111111,176
"146",0.200000,0.387640,861
"147",0.049275,0.340000,775
"148",0.339130,0.386139,2228
"149",0.002899,0.111111,80
"150",0.176812,0.386076,1113
"151",0.005797,0.181818,147
"152",0.026087,0.310345,460
"153",0.008696,0.214286,293
"154",0.113043,0.378641,1045
"155",0.014493,0.277778,477
"156",0.005797,0.181818,143
"157",0.002899,0.125000,131
"158",0.237681,0.394231,2311
"159",0.255072,0.384279,1377
"160",0.176812,0.396104,1004
"161",0.182609,0.384146,986
"162",0.002899,0.125000,245
"163",0.321739,0.381443,2420
"164",0.284058,0.398374,1824
"165",0.017391,0.272727,424
"166",0.049275,0.340000,1096
"167",0.234783,0.393204,1484
"168",0.081159,0.378378,821
"169",0.002899,0.111111,4
"170",0.086957,0.379747,1053
"171",0.040580,0.341463,567
"172",0.020290,0.318182,431
"173",0.168116,0.379085,1359
"174",0.005797,0.166667,365
"175",0.008696,0.250000,206
"176",0.086957,0.361446,828
"177",0.176812,0.383648,1751
"178",0.020290,0.280000,324
"179",0.240580,0.404878,1686
"180",0.255072,0.394619,1493
"181",0.017391,0.272727,347
"182",0.298551,0.384328,1871
"183",0.020290,0.318182,523
"184",0.118841,0.386792,1079
"185",0.017391,0.333333,420
"186",0.017391,0.315789,489
"187",0.359420,0.376900,1505
"188",0.200000,0.387640,1647
"189",0.002899,0.111111,95
"190",0.078261,0.369863,1148
"191",0.200000,0.375000,1055
"192",0.069565,0.347826,903
"193",0.202899,0.374332,1300
"194",0.008696,0.230769,342
"195",0.020290,0.291667,303
"196",0.017391,0.300000,292
