"","V1","V2","V3"
"1",0.126289,0.388889,1261
"2",0.280928,0.402214,1404
"3",0.512887,0.399598,2901
"4",0.298969,0.382838,2098
"5",0.007732,0.230769,151
"6",0.417526,0.411168,2484
"7",0.518041,0.398020,2268
"8",0.105670,0.372727,1503
"9",0.010309,0.266667,311
"10",0.203608,0.396985,2002
"11",0.002577,0.111111,317
"12",0.074742,0.367089,855
"13",0.412371,0.387409,1985
"14",0.002577,0.125000,132
"15",0.002577,0.125000,146
"16",0.420103,0.389021,2166
"17",0.010309,0.235294,314
"18",0.028351,0.343750,364
"19",0.059278,0.353846,866
"20",0.108247,0.385321,1580
"21",0.481959,0.392034,1834
"22",0.438144,0.386364,3358
"23",0.002577,0.125000,310
"24",0.335052,0.390390,2164
"25",0.360825,0.386740,2427
"26",0.002577,0.111111,112
"27",0.381443,0.380463,1788
"28",0.381443,0.388451,1794
"29",0.002577,0.125000,99
"30",0.146907,0.385135,1357
"31",0.002577,0.125000,18
"32",0.005155,0.181818,224
"33",0.018041,0.304348,248
"34",0.007732,0.214286,405
"35",0.002577,0.125000,168
"36",0.095361,0.389474,922
"37",0.298969,0.386667,2292
"38",0.448454,0.400922,1882
"39",0.530928,0.387218,2023
"40",0.332474,0.387387,1515
"41",0.046392,0.367347,517
"42",0.056701,0.366667,1037
"43",0.298969,0.389262,2228
"44",0.043814,0.354167,466
"45",0.012887,0.263158,190
"46",0.278351,0.384342,3306
"47",0.481959,0.387164,1974
"48",0.012887,0.294118,334
"49",0.007732,0.214286,372
"50",0.128866,0.373134,1504
"51",0.409794,0.399497,1910
"52",0.007732,0.250000,294
"53",0.402062,0.398977,2148
"54",0.082474,0.380952,835
"55",0.018041,0.304348,579
"56",0.012887,0.263158,378
"57",0.002577,0.125000,142
"58",0.600515,0.388982,1731
"59",0.170103,0.404908,1596
"60",0.273196,0.395522,1848
"61",0.231959,0.393013,2093
"62",0.074742,0.367089,609
"63",0.007732,0.230769,429
"64",0.002577,0.111111,170
"65",0.378866,0.404959,2305
"66",0.041237,0.363636,704
"67",0.525773,0.390057,2091
"68",0.023196,0.321429,517
"69",0.342784,0.393491,1494
"70",0.128866,0.378788,1280
"71",0.391753,0.387755,2181
"72",0.523196,0.396484,4098
"73",0.561856,0.393502,1724
"74",0.412371,0.385542,1346
"75",0.314433,0.400000,1415
"76",0.005155,0.200000,620
"77",0.463918,0.393013,1942
"78",0.018041,0.318182,535
"79",0.487113,0.390496,2782
"80",0.304124,0.385621,1852
"81",0.020619,0.307692,303
"82",0.430412,0.390187,2092
"83",0.118557,0.389830,1525
"84",0.319588,0.401294,1930
"85",0.432990,0.387991,1814
"86",0.134021,0.393939,1363
"87",0.247423,0.393443,1464
"88",0.317010,0.385580,2247
"89",0.002577,0.125000,98
"90",0.208763,0.399015,1031
"91",0.002577,0.125000,192
"92",0.002577,0.125000,140
"93",0.216495,0.387097,2080
"94",0.030928,0.363636,697
"95",0.092784,0.371134,1046
"96",0.286082,0.399281,1495
"97",0.007732,0.250000,214
"98",0.103093,0.380952,1153
"99",0.409794,0.400504,1544
"100",0.002577,0.125000,206
"101",0.340206,0.383721,1573
"102",0.025773,0.322581,280
"103",0.072165,0.373333,814
"104",0.002577,0.125000,44
"105",0.167526,0.386905,1323
"106",0.195876,0.391753,949
"107",0.069588,0.369863,836
"108",0.226804,0.391111,1681
"109",0.242268,0.386831,1721
"110",0.268041,0.393939,2774
"111",0.458763,0.387800,1666
"112",0.005155,0.181818,135
"113",0.420103,0.402469,1478
"114",0.002577,0.125000,181
"115",0.518041,0.394118,1897
"116",0.002577,0.111111,139
