"","V1","V2","V3"
"1",0.006623,0.181818,188
"2",0.003311,0.125000,87
"3",0.248344,0.378788,1023
"4",0.003311,0.125000,316
"5",0.132450,0.366972,1299
"6",0.003311,0.125000,297
"7",0.149007,0.391304,1007
"8",0.062914,0.365385,606
"9",0.089404,0.380282,793
"10",0.165563,0.390625,1035
"11",0.046358,0.358974,470
"12",0.033113,0.303030,457
"13",0.039735,0.315789,611
"14",0.006623,0.166667,318
"15",0.079470,0.352941,846
"16",0.178808,0.382979,1313
"17",0.003311,0.125000,130
"18",0.016556,0.263158,295
"19",0.006623,0.166667,316
"20",0.006623,0.181818,221
"21",0.003311,0.125000,53
"22",0.013245,0.250000,465
"23",0.029801,0.300000,702
"24",0.029801,0.321429,674
"25",0.086093,0.361111,1507
"26",0.112583,0.361702,1028
"27",0.082781,0.347222,772
"28",0.006623,0.166667,178
"29",0.006623,0.181818,242
"30",0.019868,0.285714,417
"31",0.006623,0.181818,191
"32",0.079470,0.338028,638
"33",0.172185,0.376812,1250
"34",0.013245,0.250000,293
"35",0.006623,0.200000,191
"36",0.003311,0.111111,43
"37",0.006623,0.181818,116
"38",0.069536,0.350000,893
"39",0.006623,0.200000,408
"40",0.155629,0.388430,1085
"41",0.013245,0.250000,480
"42",0.023179,0.291667,254
"43",0.122517,0.370000,789
"44",0.231788,0.395480,1643
"45",0.033113,0.357143,354
"46",0.102649,0.373494,848
"47",0.049669,0.348837,652
"48",0.096026,0.367089,784
"49",0.019868,0.285714,271
"50",0.076159,0.353846,1606
"51",0.006623,0.200000,445
"52",0.003311,0.125000,13
"53",0.066225,0.344828,558
"54",0.211921,0.392638,1344
"55",0.039735,0.363636,516
"56",0.006623,0.181818,284
"57",0.056291,0.346939,704
"58",0.019868,0.300000,219
"59",0.006623,0.181818,199
"60",0.082781,0.367647,639
"61",0.059603,0.327273,441
"62",0.029801,0.333333,437
"63",0.006623,0.200000,255
"64",0.009934,0.250000,452
"65",0.003311,0.111111,86
"66",0.013245,0.250000,297
"67",0.036424,0.314286,981
"68",0.086093,0.356164,1097
"69",0.013245,0.235294,331
"70",0.125828,0.365385,1012
"71",0.016556,0.277778,351
"72",0.258278,0.375000,2014
"73",0.039735,0.342857,352
"74",0.152318,0.368000,1284
"75",0.043046,0.382353,441
"76",0.049669,0.348837,891
"77",0.003311,0.125000,69
"78",0.039735,0.324324,864
"79",0.112583,0.365591,1403
"80",0.062914,0.333333,621
"81",0.003311,0.125000,238
"82",0.046358,0.350000,976
"83",0.009934,0.214286,392
"84",0.003311,0.125000,349
"85",0.006623,0.166667,456
"86",0.003311,0.111111,257
"87",0.145695,0.366667,1394
"88",0.066225,0.370370,789
"89",0.003311,0.125000,142
"90",0.006623,0.200000,186
"91",0.003311,0.125000,246
"92",0.013245,0.266667,314
"93",0.009934,0.230769,350
"94",0.029801,0.300000,702
"95",0.129139,0.390000,1124
"96",0.023179,0.291667,280
"97",0.006623,0.181818,216
"98",0.096026,0.371795,841
"99",0.006623,0.181818,315
"100",0.009934,0.230769,225
"101",0.023179,0.304348,299
"102",0.092715,0.383562,912
"103",0.102649,0.364706,1509
"104",0.026490,0.320000,322
"105",0.003311,0.125000,66
"106",0.036424,0.314286,612
"107",0.006623,0.200000,196
"108",0.009934,0.214286,169
"109",0.003311,0.111111,67
"110",0.003311,0.111111,179
"111",0.026490,0.296296,672
"112",0.039735,0.324324,530
"113",0.086093,0.366197,559
"114",0.019868,0.315789,305
"115",0.023179,0.291667,575
"116",0.006623,0.181818,224
"117",0.013245,0.235294,299
"118",0.016556,0.277778,419
"119",0.026490,0.307692,489
"120",0.006623,0.200000,267
"121",0.023179,0.304348,473
"122",0.003311,0.125000,137
"123",0.003311,0.125000,289
"124",0.009934,0.230769,95
"125",0.003311,0.125000,92
"126",0.023179,0.304348,449
"127",0.009934,0.230769,349
"128",0.023179,0.304348,276
"129",0.016556,0.294118,136
"130",0.023179,0.304348,534
"131",0.003311,0.125000,57
"132",0.003311,0.125000,4
"133",0.175497,0.395522,949
"134",0.158940,0.387097,836
"135",0.003311,0.125000,352
"136",0.006623,0.181818,242
"137",0.046358,0.350000,679
"138",0.006623,0.200000,424
"139",0.043046,0.342105,681
"140",0.003311,0.125000,101
"141",0.033113,0.303030,346
"142",0.079470,0.369231,864
"143",0.122517,0.366337,1106
"144",0.043046,0.325000,960
"145",0.178808,0.364865,1320
"146",0.006623,0.181818,121
"147",0.135762,0.376147,854
"148",0.079470,0.358209,591
"149",0.003311,0.111111,84
"150",0.043046,0.371429,334
"151",0.009934,0.214286,384
"152",0.056291,0.354167,628
"153",0.046358,0.368421,626
"154",0.006623,0.200000,119
"155",0.009934,0.230769,196
"156",0.046358,0.350000,755
"157",0.003311,0.125000,72
"158",0.099338,0.361446,674
"159",0.082781,0.362319,1101
"160",0.016556,0.250000,319
"161",0.013245,0.235294,194
"162",0.049669,0.348837,554
"163",0.066225,0.357143,574
"164",0.029801,0.321429,501
"165",0.019868,0.285714,643
"166",0.003311,0.111111,191
"167",0.016556,0.263158,229
"168",0.105960,0.359551,658
"169",0.003311,0.125000,96
"170",0.019868,0.272727,524
"171",0.039735,0.342857,613
"172",0.086093,0.342105,901
"173",0.026490,0.320000,578
"174",0.019868,0.300000,645
"175",0.003311,0.125000,160
"176",0.019868,0.285714,428
"177",0.016556,0.250000,399
"178",0.056291,0.340000,1015
"179",0.033113,0.333333,449
"180",0.072848,0.366667,734
"181",0.006623,0.166667,325
"182",0.092715,0.358974,605
"183",0.009934,0.250000,350
"184",0.086093,0.356164,1399
"185",0.099338,0.348837,930
