"","V1","V2","V3"
"1",0.550869,0.394316,2714
"2",0.181141,0.390374,1208
"3",0.491315,0.400000,1765
"4",0.106700,0.370690,1142
"5",0.131514,0.368056,1392
"6",0.640199,0.400000,2352
"7",0.563275,0.386054,2072
"8",0.213399,0.390909,1184
"9",0.349876,0.390582,1575
"10",0.411911,0.393365,2873
"11",0.397022,0.395062,2654
"12",0.069479,0.363636,1060
"13",0.019851,0.320000,710
"14",0.411911,0.389671,1393
"15",0.300248,0.394137,1932
"16",0.464020,0.402151,1862
"17",0.416873,0.384439,2672
"18",0.357320,0.397790,2219
"19",0.002481,0.111111,163
"20",0.320099,0.394495,2691
"21",0.406948,0.394231,1860
"22",0.057072,0.365079,650
"23",0.347395,0.388889,2641
"24",0.215881,0.397260,1883
"25",0.017370,0.291667,470
"26",0.200993,0.380282,1498
"27",0.573201,0.388889,2387
"28",0.183623,0.381443,1401
"29",0.235732,0.399160,1830
"30",0.501241,0.393762,3726
"31",0.389578,0.395466,1733
"32",0.255583,0.396154,1751
"33",0.563275,0.391379,1930
"34",0.210918,0.393519,1628
"35",0.178660,0.380952,1593
"36",0.002481,0.125000,4
"37",0.258065,0.388060,1682
"38",0.260546,0.403846,2054
"39",0.300248,0.384127,2616
"40",0.560794,0.384354,2087
"41",0.022333,0.310345,504
"42",0.002481,0.125000,179
"43",0.305211,0.400651,1712
"44",0.079404,0.385542,1232
"45",0.439206,0.392461,2065
"46",0.344913,0.394886,1856
"47",0.240695,0.395918,2799
"48",0.516129,0.397706,2266
"49",0.481390,0.400826,2010
"50",0.521092,0.383912,2211
"51",0.516129,0.393195,1561
"52",0.277916,0.390244,2307
"53",0.456576,0.386555,2145
"54",0.019851,0.307692,473
"55",0.347395,0.394366,1726
"56",0.352357,0.391185,1562
"57",0.444169,0.399554,2025
"58",0.362283,0.395664,1777
"59",0.069479,0.368421,758
"60",0.468983,0.393750,2726
"61",0.009926,0.285714,263
"62",0.540943,0.397810,2560
"63",0.431762,0.393665,1632
"64",0.548387,0.407749,1523
"65",0.352357,0.405714,1699
"66",0.007444,0.214286,240
"67",0.004963,0.200000,274
"68",0.002481,0.125000,49
"69",0.007444,0.230769,400
"70",0.459057,0.406593,3257
"71",0.004963,0.166667,226
"72",0.454094,0.396963,2782
"73",0.019851,0.320000,505
"74",0.451613,0.393089,2256
"75",0.506203,0.393822,2041
"76",0.002481,0.111111,199
"77",0.521092,0.390335,2318
"78",0.084367,0.373626,1088
"79",0.650124,0.393985,1932
"80",0.002481,0.111111,349
"81",0.235732,0.389344,1804
"82",0.595533,0.396040,2208
"83",0.565757,0.391753,1903
"84",0.431762,0.398169,1587
"85",0.300248,0.387821,2277
"86",0.002481,0.125000,95
"87",0.218362,0.396396,1290
"88",0.002481,0.111111,199
"89",0.434243,0.395034,1579
"90",0.089330,0.404494,900
"91",0.002481,0.125000,238
"92",0.002481,0.111111,236
"93",0.426799,0.390909,1882
"94",0.389578,0.387654,2286
"95",0.486352,0.400000,1985
"96",0.009926,0.235294,431
"97",0.436725,0.383442,1866
"98",0.454094,0.394397,2299
"99",0.496278,0.399202,2393
"100",0.275434,0.396429,2117
"101",0.004963,0.181818,242
"102",0.481390,0.395918,1532
"103",0.228288,0.396552,1479
"104",0.493797,0.394841,1773
"105",0.002481,0.111111,137
"106",0.208437,0.385321,1071
"107",0.002481,0.111111,62
"108",0.009926,0.266667,138
"109",0.002481,0.125000,141
"110",0.411911,0.390588,3470
"111",0.270471,0.396364,2086
"112",0.250620,0.392996,1781
"113",0.538462,0.401109,2428
"114",0.409429,0.393795,2367
"115",0.027295,0.354839,750
"116",0.553350,0.399642,2202
"117",0.560794,0.386986,1896
"118",0.076923,0.382716,721
"119",0.265509,0.386282,1269
"120",0.310174,0.391850,1931
"121",0.486352,0.400000,2533
"122",0.674938,0.398243,2147
"123",0.002481,0.125000,114
"124",0.002481,0.125000,90
"125",0.347395,0.396601,1797
"126",0.136476,0.387324,1805
"127",0.012407,0.294118,446
"128",0.002481,0.111111,220
"129",0.508685,0.398058,2335
"130",0.004963,0.181818,283
"131",0.498759,0.394118,2097
"132",0.397022,0.395062,2365
"133",0.019851,0.285714,286
"134",0.568238,0.401754,1725
"135",0.004963,0.166667,216
"136",0.133995,0.377622,1407
"137",0.037221,0.333333,665
"138",0.129032,0.393939,991
"139",0.109181,0.396396,1398
"140",0.136476,0.395683,1181
"141",0.511166,0.393881,2189
"142",0.426799,0.393593,2148
"143",0.141439,0.398601,1261
"144",0.002481,0.111111,54
"145",0.538462,0.395985,1859
"146",0.002481,0.125000,80
"147",0.007444,0.230769,232
"148",0.002481,0.111111,113
"149",0.210918,0.395349,1367
"150",0.387097,0.395939,2398
"151",0.461538,0.399142,1384
"152",0.384615,0.387500,2520
"153",0.429280,0.397701,2967
"154",0.034739,0.368421,395
"155",0.069479,0.350000,1145
"156",0.456576,0.399132,1491
"157",0.439206,0.392461,2669
"158",0.168734,0.379888,969
"159",0.352357,0.383784,2007
"160",0.543424,0.392473,2049
"161",0.004963,0.181818,271
"162",0.002481,0.111111,60
"163",0.275434,0.386760,2162
"164",0.339950,0.391429,1892
"165",0.235732,0.404255,1373
"166",0.426799,0.394495,1893
"167",0.476427,0.395876,2092
"168",0.004963,0.166667,235
"169",0.538462,0.400369,2002
"170",0.384615,0.389447,2611
"171",0.002481,0.111111,108
"172",0.009926,0.266667,213
"173",0.483871,0.400411,1779
"174",0.022333,0.321429,352
"175",0.292804,0.386885,1650
"176",0.004963,0.166667,207
"177",0.424318,0.394009,1569
"178",0.044665,0.375000,721
"179",0.387097,0.378641,2653
"180",0.002481,0.111111,279
"181",0.518610,0.391386,1872
"182",0.009926,0.266667,429
"183",0.002481,0.111111,4
"184",0.384615,0.385572,1819
"185",0.004963,0.166667,113
"186",0.295285,0.392739,1536
"187",0.039702,0.363636,620
"188",0.024814,0.333333,491
"189",0.600496,0.400662,1881
"190",0.012407,0.294118,367
"191",0.094293,0.380000,1594
"192",0.488834,0.397980,2148
"193",0.478908,0.399586,2346
"194",0.555831,0.400716,2641
"195",0.312655,0.396226,2408
"196",0.270471,0.393502,2070
"197",0.136476,0.379310,1228
"198",0.007444,0.230769,258
"199",0.334988,0.389049,2627
"200",0.004963,0.200000,478
"201",0.143921,0.379085,746
"202",0.004963,0.166667,155
"203",0.034739,0.358974,596
"204",0.411911,0.400000,2488
"205",0.337469,0.388571,2104
"206",0.528536,0.387978,1903
"207",0.560794,0.391003,2961
"208",0.518610,0.400383,2857
"209",0.019851,0.307692,516
"210",0.483871,0.392354,2026
"211",0.002481,0.111111,4
"212",0.578164,0.403114,2511
"213",0.042184,0.361702,1018
"214",0.004963,0.200000,242
"215",0.220844,0.392070,1849
"216",0.330025,0.403030,1556
"217",0.436725,0.393736,2227
"218",0.419355,0.394860,1633
"219",0.270471,0.396364,2494
"220",0.595533,0.399334,1949
"221",0.533499,0.394495,2013
"222",0.387097,0.391960,2789
"223",0.312655,0.390093,1374
"224",0.595533,0.394737,2861
"225",0.017370,0.291667,482
"226",0.019851,0.320000,598
"227",0.625310,0.401914,2242
"228",0.183623,0.397849,1175
"229",0.181141,0.398907,1961
"230",0.002481,0.111111,236
"231",0.091811,0.370000,916
"232",0.225806,0.390558,1494
"233",0.538462,0.401109,2530
"234",0.575682,0.380952,2372
"235",0.540943,0.397810,1764
"236",0.441687,0.401806,1895
"237",0.456576,0.394004,3038
"238",0.424318,0.406176,2368
"239",0.496278,0.392157,1960
"240",0.002481,0.125000,80
"241",0.119107,0.384000,1506
"242",0.004963,0.181818,341
"243",0.488834,0.401222,1676
"244",0.429280,0.397701,2116
"245",0.004963,0.181818,273
"246",0.461538,0.393235,2284
"247",0.002481,0.125000,157
"248",0.171216,0.394286,1392
"249",0.250620,0.404000,1944
"250",0.017370,0.291667,362
"251",0.357320,0.389189,2142
"252",0.545906,0.396396,1862
"253",0.392060,0.395000,1750
"254",0.208437,0.390698,1378
"255",0.354839,0.385445,1896
"256",0.002481,0.125000,358
"257",0.518610,0.405039,2323
"258",0.439206,0.389868,2314
"259",0.126551,0.372263,1532
"260",0.002481,0.125000,186
"261",0.263027,0.382671,2000
"262",0.307692,0.400000,2927
"263",0.473945,0.393814,2351
"264",0.518610,0.396584,4141
"265",0.550869,0.393617,2584
"266",0.009926,0.266667,175
"267",0.362283,0.392473,1665
"268",0.004963,0.166667,199
"269",0.019851,0.347826,384
"270",0.459057,0.394456,3044
"271",0.558313,0.392670,2528
"272",0.009926,0.266667,228
"273",0.466501,0.394958,1787
"274",0.610422,0.391097,2729
"275",0.022333,0.300000,548
"276",0.464020,0.392857,1612
"277",0.332506,0.386167,1673
"278",0.032258,0.351351,551
"279",0.563275,0.389365,1952
"280",0.426799,0.392694,2075
"281",0.022333,0.346154,415
"282",0.605459,0.396104,2066
"283",0.533499,0.396679,2978
