"","V1","V2","V3"
"1",0.401070,0.394737,1630
"2",0.045455,0.333333,812
"3",0.002674,0.125000,44
"4",0.008021,0.230769,326
"5",0.064171,0.387097,737
"6",0.283422,0.384058,1591
"7",0.037433,0.333333,285
"8",0.096257,0.387097,1023
"9",0.040107,0.357143,601
"10",0.262032,0.404959,1479
"11",0.310160,0.384106,1817
"12",0.171123,0.383234,2024
"13",0.008021,0.230769,120
"14",0.002674,0.125000,217
"15",0.002674,0.125000,4
"16",0.467914,0.388889,2300
"17",0.232620,0.370213,2143
"18",0.069519,0.376812,951
"19",0.005348,0.181818,322
"20",0.387701,0.396175,1406
"21",0.002674,0.125000,111
"22",0.010695,0.266667,445
"23",0.280749,0.383212,1380
"24",0.002674,0.125000,132
"25",0.002674,0.125000,154
"26",0.187166,0.395480,1140
"27",0.393048,0.395161,1636
"28",0.235294,0.387665,1552
"29",0.037433,0.325581,441
"30",0.352941,0.392857,2278
"31",0.286096,0.393382,1527
"32",0.056150,0.375000,672
"33",0.254011,0.389344,1461
"34",0.050802,0.365385,735
"35",0.312834,0.409091,1579
"36",0.018717,0.291667,641
"37",0.248663,0.387500,1321
"38",0.090909,0.382022,1246
"39",0.168449,0.375000,1981
"40",0.101604,0.368932,1058
"41",0.288770,0.387097,1675
"42",0.002674,0.125000,62
"43",0.024064,0.321429,654
"44",0.018717,0.318182,288
"45",0.352941,0.404908,1697
"46",0.050802,0.365385,720
"47",0.010695,0.250000,289
"48",0.155080,0.400000,986
"49",0.088235,0.358696,906
"50",0.018717,0.304348,461
"51",0.037433,0.333333,549
"52",0.312834,0.392617,2010
"53",0.457219,0.396752,1732
"54",0.117647,0.369748,1186
"55",0.368984,0.389830,1544
"56",0.419786,0.397468,1607
"57",0.053476,0.344828,798
"58",0.165775,0.369048,1260
"59",0.243316,0.388889,1178
"60",0.254011,0.390947,2362
"61",0.160428,0.372671,1674
"62",0.026738,0.333333,703
"63",0.002674,0.111111,4
"64",0.088235,0.379310,1217
"65",0.005348,0.200000,127
"66",0.334225,0.385802,1395
"67",0.037433,0.333333,732
"68",0.008021,0.214286,220
"69",0.010695,0.266667,194
"70",0.291444,0.394928,2618
"71",0.200535,0.390625,1562
"72",0.016043,0.285714,160
"73",0.211230,0.391089,1539
"74",0.508021,0.396660,1994
"75",0.122995,0.383333,914
"76",0.133690,0.400000,1066
"77",0.010695,0.266667,472
"78",0.251337,0.403433,1197
"79",0.002674,0.111111,253
"80",0.336898,0.393750,1694
"81",0.021390,0.307692,424
"82",0.462567,0.390519,1874
"83",0.320856,0.388350,1102
"84",0.360963,0.392442,2212
"85",0.040107,0.365854,626
"86",0.005348,0.181818,202
"87",0.077540,0.391892,1564
"88",0.441176,0.397590,3332
"89",0.149733,0.383562,1524
"90",0.280749,0.391791,1335
"91",0.005348,0.200000,5
"92",0.114973,0.387387,1321
"93",0.013369,0.277778,368
"94",0.312834,0.388704,1370
"95",0.002674,0.125000,103
"96",0.085561,0.359551,1299
"97",0.040107,0.348837,888
"98",0.462567,0.386161,2333
"99",0.195187,0.386243,1097
"100",0.002674,0.111111,119
"101",0.005348,0.181818,223
"102",0.443850,0.383372,2081
"103",0.002674,0.125000,150
"104",0.385027,0.385027,1975
"105",0.235294,0.401826,2270
"106",0.176471,0.407407,2150
"107",0.002674,0.125000,346
"108",0.010695,0.285714,419
"109",0.304813,0.395833,1957
"110",0.002674,0.111111,81
"111",0.005348,0.181818,360
"112",0.018717,0.291667,254
"113",0.256684,0.395062,1633
"114",0.002674,0.125000,121
"115",0.037433,0.341463,615
"116",0.008021,0.214286,154
"117",0.032086,0.324324,368
"118",0.008021,0.214286,157
"119",0.072193,0.364865,705
"120",0.189840,0.396648,1159
"121",0.245989,0.393162,1244
"122",0.002674,0.111111,114
"123",0.024064,0.321429,404
"124",0.010695,0.250000,244
"125",0.331551,0.381538,1736
"126",0.002674,0.125000,417
"127",0.005348,0.200000,219
"128",0.010695,0.250000,225
"129",0.024064,0.321429,516
"130",0.139037,0.379562,1252
"131",0.147059,0.371622,894
"132",0.163102,0.374233,1360
"133",0.072193,0.375000,816
"134",0.224599,0.405797,1020
"135",0.005348,0.166667,364
"136",0.002674,0.125000,82
"137",0.195187,0.384211,1620
"138",0.117647,0.376068,1458
"139",0.040107,0.348837,481
"140",0.173797,0.377907,1395
"141",0.008021,0.230769,412
"142",0.008021,0.230769,215
"143",0.008021,0.214286,156
"144",0.018717,0.304348,431
"145",0.002674,0.125000,367
"146",0.002674,0.111111,92
"147",0.013369,0.294118,366
"148",0.318182,0.381410,1581
"149",0.029412,0.323529,857
"150",0.109626,0.369369,1017
"151",0.053476,0.338983,791
"152",0.029412,0.366667,494
"153",0.002674,0.125000,49
"154",0.005348,0.166667,261
"155",0.390374,0.384211,1751
"156",0.002674,0.111111,226
"157",0.074866,0.394366,1237
"158",0.005348,0.200000,394
"159",0.005348,0.181818,145
"160",0.002674,0.111111,171
"161",0.259358,0.381890,1859
"162",0.008021,0.214286,338
"163",0.026738,0.312500,811
"164",0.090909,0.373626,731
"165",0.165775,0.382716,1773
"166",0.029412,0.354839,668
"167",0.176471,0.388235,1479
"168",0.080214,0.389610,1090
"169",0.294118,0.383275,2230
"170",0.181818,0.388571,1237
"171",0.302139,0.381757,3303
"172",0.294118,0.378007,1159
"173",0.008021,0.214286,200
"174",0.248663,0.389121,1713
"175",0.005348,0.181818,370
"176",0.005348,0.181818,183
"177",0.056150,0.362069,808
"178",0.125668,0.385246,1247
"179",0.069519,0.388060,687
"180",0.254011,0.387755,1172
"181",0.013369,0.238095,428
"182",0.358289,0.386167,2489
"183",0.005348,0.200000,139
"184",0.133690,0.381679,1247
"185",0.002674,0.111111,246
"186",0.232620,0.399083,1908
"187",0.002674,0.125000,97
"188",0.005348,0.166667,202
"189",0.155080,0.394558,1120
"190",0.569519,0.398876,1924
"191",0.323529,0.396721,1276
"192",0.181818,0.365591,1810
"193",0.002674,0.125000,234
"194",0.195187,0.405556,1867
"195",0.240642,0.389610,1814
"196",0.002674,0.111111,60
"197",0.395722,0.398922,1711
"198",0.029412,0.354839,642
"199",0.537433,0.391813,2875
"200",0.157754,0.383117,1465
"201",0.005348,0.181818,332
"202",0.026738,0.303030,385
"203",0.280749,0.381818,1694
"204",0.192513,0.380952,1892
"205",0.160428,0.387097,1277
"206",0.491979,0.394850,1867
"207",0.136364,0.392308,1897
"208",0.005348,0.181818,430
"209",0.016043,0.285714,367
"210",0.387701,0.389785,1523
"211",0.005348,0.181818,266
"212",0.197861,0.395722,1195
"213",0.085561,0.376471,590
"214",0.120321,0.391304,1608
"215",0.013369,0.277778,297
"216",0.478610,0.403153,2196
"217",0.018717,0.291667,406
"218",0.112299,0.381818,1339
"219",0.588235,0.385289,2758
"220",0.294118,0.392857,2378
"221",0.048128,0.360000,612
"222",0.008021,0.230769,355
"223",0.005348,0.200000,295
"224",0.002674,0.125000,111
"225",0.208556,0.404145,1527
"226",0.005348,0.181818,212
"227",0.131016,0.388889,1572
"228",0.056150,0.350000,1073
"229",0.002674,0.111111,156
"230",0.192513,0.375000,1604
"231",0.008021,0.230769,349
"232",0.069519,0.356164,867
"233",0.160428,0.382166,2277
"234",0.184492,0.396552,1413
"235",0.377005,0.390582,1480
"236",0.454545,0.394432,1696
"237",0.050802,0.327586,684
"238",0.074866,0.350000,1383
"239",0.005348,0.200000,465
"240",0.101604,0.376238,856
"241",0.344920,0.380531,1200
"242",0.489305,0.398693,2806
"243",0.090909,0.354167,1100
"244",0.195187,0.380208,1718
"245",0.029412,0.323529,657
"246",0.358289,0.398810,2125
"247",0.149733,0.386207,1480
"248",0.005348,0.166667,382
"249",0.245989,0.384937,1195
"250",0.133690,0.375940,1560
"251",0.104278,0.371429,1128
"252",0.320856,0.390879,1136
"253",0.002674,0.111111,4
"254",0.302139,0.391003,1713
"255",0.002674,0.111111,345
"256",0.251337,0.393305,2043
