"","V1","V2","V3"
"1",0.169753,0.376712,1694
"2",0.024691,0.333333,598
"3",0.145062,0.394958,1862
"4",0.027778,0.310345,464
"5",0.009259,0.230769,396
"6",0.018519,0.272727,495
"7",0.098765,0.376471,738
"8",0.015432,0.277778,228
"9",0.009259,0.200000,149
"10",0.064815,0.355932,681
"11",0.009259,0.200000,279
"12",0.055556,0.367347,726
"13",0.206790,0.370166,1296
"14",0.006173,0.181818,149
"15",0.268519,0.402778,1507
"16",0.219136,0.381720,963
"17",0.015432,0.263158,467
"18",0.006173,0.200000,74
"19",0.033951,0.305556,588
"20",0.003086,0.111111,340
"21",0.049383,0.355556,816
"22",0.086420,0.358974,1568
"23",0.003086,0.125000,109
"24",0.003086,0.111111,74
"25",0.052469,0.377778,1003
"26",0.058642,0.333333,1015
"27",0.175926,0.372549,1447
"28",0.037037,0.324324,667
"29",0.006173,0.181818,284
"30",0.175926,0.372549,1609
"31",0.126543,0.376147,1044
"32",0.160494,0.382353,896
"33",0.009259,0.250000,313
"34",0.237654,0.371981,1344
"35",0.009259,0.250000,348
"36",0.012346,0.222222,302
"37",0.012346,0.250000,196
"38",0.012346,0.250000,312
"39",0.006173,0.181818,223
"40",0.219136,0.385870,1494
"41",0.009259,0.230769,183
"42",0.228395,0.408840,1125
"43",0.037037,0.333333,491
"44",0.003086,0.111111,86
"45",0.175926,0.387755,1158
"46",0.132716,0.367521,1498
"47",0.101852,0.362637,799
"48",0.012346,0.266667,179
"49",0.151235,0.379845,1641
"50",0.058642,0.333333,740
"51",0.009259,0.230769,444
"52",0.089506,0.367089,960
"53",0.003086,0.125000,230
"54",0.003086,0.111111,160
"55",0.209877,0.397661,1604
"56",0.095679,0.369048,1039
"57",0.064815,0.350000,468
"58",0.037037,0.342857,685
"59",0.169753,0.387324,996
"60",0.129630,0.381818,1588
"61",0.027778,0.300000,992
"62",0.003086,0.125000,368
"63",0.027778,0.333333,586
"64",0.009259,0.250000,489
"65",0.003086,0.111111,123
"66",0.015432,0.263158,564
"67",0.046296,0.348837,1045
"68",0.169753,0.379310,1325
"69",0.095679,0.378049,1454
"70",0.015432,0.277778,325
"71",0.009259,0.230769,319
"72",0.166667,0.382979,1152
"73",0.009259,0.214286,173
"74",0.021605,0.318182,432
"75",0.018519,0.285714,605
"76",0.049383,0.363636,727
"77",0.101852,0.354839,1015
"78",0.015432,0.250000,269
"79",0.080247,0.376812,972
"80",0.049383,0.340426,707
"81",0.117284,0.358491,863
"82",0.379630,0.392971,1475
"83",0.021605,0.269231,183
"84",0.033951,0.323529,277
"85",0.003086,0.111111,111
"86",0.067901,0.360656,640
"87",0.003086,0.111111,217
"88",0.003086,0.111111,241
"89",0.157407,0.389313,1135
"90",0.003086,0.125000,158
"91",0.209877,0.400000,1329
"92",0.024691,0.307692,364
"93",0.024691,0.275862,174
"94",0.003086,0.111111,312
"95",0.058642,0.351852,1172
"96",0.021605,0.304348,734
"97",0.003086,0.111111,177
"98",0.067901,0.366667,1075
"99",0.003086,0.125000,120
"100",0.003086,0.125000,79
"101",0.024691,0.285714,567
"102",0.132716,0.367521,1069
"103",0.003086,0.125000,65
"104",0.003086,0.111111,174
"105",0.009259,0.200000,234
"106",0.086420,0.363636,568
"107",0.052469,0.340000,687
"108",0.006173,0.200000,197
"109",0.080247,0.361111,948
"110",0.024691,0.333333,270
"111",0.012346,0.250000,319
"112",0.009259,0.230769,149
"113",0.003086,0.111111,216
"114",0.003086,0.125000,133
"115",0.080247,0.371429,646
"116",0.003086,0.125000,68
"117",0.246914,0.388350,1160
"118",0.225309,0.382199,1503
"119",0.033951,0.354839,270
"120",0.003086,0.125000,35
"121",0.256173,0.380734,1261
"122",0.003086,0.125000,56
"123",0.067901,0.360656,532
"124",0.129630,0.392523,1065
"125",0.037037,0.333333,896
"126",0.098765,0.400000,983
"127",0.141975,0.393162,1046
"128",0.003086,0.125000,145
"129",0.342593,0.386760,1714
"130",0.009259,0.250000,282
"131",0.040123,0.351351,771
"132",0.003086,0.125000,56
"133",0.070988,0.359375,957
"134",0.046296,0.326087,1029
"135",0.009259,0.230769,237
"136",0.009259,0.230769,170
"137",0.049383,0.355556,568
"138",0.222222,0.402235,1291
"139",0.006173,0.166667,277
"140",0.067901,0.366667,471
"141",0.179012,0.384106,1533
"142",0.049383,0.372093,961
"143",0.012346,0.250000,367
"144",0.092593,0.365854,1174
"145",0.024691,0.307692,564
"146",0.064815,0.368421,924
"147",0.030864,0.322581,676
"148",0.009259,0.230769,124
"149",0.003086,0.111111,198
"150",0.083333,0.364865,1025
"151",0.129630,0.392523,947
"152",0.114198,0.377551,904
"153",0.055556,0.346154,654
"154",0.225309,0.398907,2015
"155",0.015432,0.277778,252
"156",0.111111,0.371134,650
"157",0.012346,0.250000,419
"158",0.033951,0.323529,266
"159",0.003086,0.111111,216
"160",0.027778,0.321429,415
"161",0.006173,0.200000,78
"162",0.021605,0.318182,448
"163",0.003086,0.125000,118
"164",0.080247,0.342105,790
"165",0.003086,0.125000,138
"166",0.345679,0.394366,2004
"167",0.003086,0.111111,111
"168",0.012346,0.266667,454
"169",0.095679,0.382716,765
"170",0.009259,0.214286,365
"171",0.058642,0.358491,495
"172",0.037037,0.324324,447
"173",0.138889,0.384615,1021
"174",0.024691,0.307692,531
"175",0.015432,0.263158,373
"176",0.003086,0.111111,70
"177",0.222222,0.387097,2258
"178",0.080247,0.346667,560
"179",0.006173,0.166667,199
"180",0.009259,0.230769,230
"181",0.006173,0.166667,386
"182",0.049383,0.340426,750
"183",0.043210,0.358974,730
"184",0.290123,0.379032,1686
"185",0.194444,0.384146,1913
"186",0.012346,0.250000,372
"187",0.046296,0.348837,988
"188",0.012346,0.235294,355
"189",0.083333,0.380282,640
"190",0.037037,0.315789,660
"191",0.003086,0.125000,4
"192",0.138889,0.371901,859
"193",0.012346,0.250000,313
"194",0.006173,0.181818,238
"195",0.006173,0.200000,508
"196",0.092593,0.379747,818
"197",0.067901,0.354839,1068
"198",0.009259,0.230769,283
"199",0.012346,0.250000,161
"200",0.009259,0.200000,225
"201",0.003086,0.111111,126
"202",0.064815,0.362069,572
"203",0.163580,0.401515,1396
"204",0.003086,0.111111,102
"205",0.006173,0.200000,360
