"","V1","V2","V3"
"1",0.489899,0.383399,2379
"2",0.037879,0.348837,758
"3",0.500000,0.391304,1501
"4",0.542929,0.396679,2063
"5",0.181818,0.387097,1478
"6",0.154040,0.381250,1357
"7",0.406566,0.397531,1781
"8",0.366162,0.392954,1886
"9",0.012626,0.263158,542
"10",0.027778,0.333333,761
"11",0.002525,0.125000,101
"12",0.340909,0.397059,2746
"13",0.520202,0.387947,1448
"14",0.075758,0.344828,1197
"15",0.381313,0.385204,2429
"16",0.075758,0.389610,830
"17",0.449495,0.390351,3222
"18",0.207071,0.381395,1512
"19",0.040404,0.326531,739
"20",0.308081,0.392283,1629
"21",0.257576,0.414634,1464
"22",0.042929,0.354167,806
"23",0.512626,0.394942,2287
"24",0.196970,0.386139,1305
"25",0.161616,0.392638,1116
"26",0.002525,0.125000,117
"27",0.406566,0.397531,1994
"28",0.277778,0.395683,1239
"29",0.012626,0.277778,192
"30",0.209596,0.382488,1738
"31",0.409091,0.396088,3325
"32",0.005051,0.166667,184
"33",0.330808,0.387574,1872
"34",0.075758,0.365854,798
"35",0.565657,0.400000,2009
"36",0.497475,0.404517,2154
"37",0.012626,0.277778,217
"38",0.371212,0.379845,2655
"39",0.005051,0.200000,147
"40",0.002525,0.125000,53
"41",0.085859,0.361702,1813
"42",0.007576,0.230769,306
"43",0.065657,0.366197,1056
"44",0.002525,0.125000,170
"45",0.366162,0.389785,1694
"46",0.005051,0.166667,318
"47",0.234848,0.397436,1229
"48",0.595960,0.393990,2072
"49",0.292929,0.380328,3013
"50",0.037879,0.357143,461
"51",0.012626,0.263158,510
"52",0.184343,0.390374,1970
"53",0.497475,0.397980,1553
"54",0.007576,0.230769,198
"55",0.386364,0.399478,1756
"56",0.005051,0.181818,326
"57",0.234848,0.381148,1248
"58",0.010101,0.266667,339
"59",0.454545,0.393013,2426
"60",0.035354,0.350000,920
"61",0.426768,0.391204,1642
"62",0.550505,0.398537,3472
"63",0.007576,0.214286,258
"64",0.391414,0.397436,1419
"65",0.017677,0.304348,527
"66",0.191919,0.389744,1977
"67",0.088384,0.376344,840
"68",0.239899,0.383065,1509
"69",0.368687,0.383202,1505
"70",0.002525,0.125000,189
"71",0.058081,0.377049,764
"72",0.234848,0.376518,2511
"73",0.606061,0.392799,2322
"74",0.310606,0.394231,1599
"75",0.477273,0.393750,1652
"76",0.007576,0.214286,250
"77",0.027778,0.323529,659
"78",0.411616,0.395631,2736
"79",0.492424,0.395538,3122
"80",0.431818,0.387755,1865
"81",0.012626,0.294118,291
"82",0.002525,0.125000,149
"83",0.002525,0.111111,50
"84",0.535354,0.384755,1444
"85",0.194444,0.379310,1699
"86",0.411616,0.396594,2204
"87",0.010101,0.235294,305
"88",0.154040,0.398693,1032
"89",0.444444,0.396396,2593
"90",0.366162,0.394022,1968
"91",0.300505,0.394040,2337
"92",0.608586,0.399668,1493
"93",0.217172,0.396313,1264
"94",0.010101,0.250000,437
