"","V1","V2","V3"
"1",0.018519,0.181818,216
"2",0.009259,0.125000,4
"3",0.027778,0.214286,240
"4",0.037037,0.235294,221
"5",0.009259,0.111111,107
"6",0.009259,0.111111,54
"7",0.027778,0.230769,182
"8",0.009259,0.111111,457
"9",0.018519,0.181818,154
"10",0.009259,0.125000,153
"11",0.018519,0.166667,313
"12",0.009259,0.125000,56
"13",0.055556,0.300000,723
"14",0.027778,0.230769,319
"15",0.027778,0.230769,130
"16",0.027778,0.214286,496
"17",0.018519,0.200000,254
"18",0.009259,0.125000,338
"19",0.009259,0.111111,76
"20",0.027778,0.230769,192
"21",0.027778,0.214286,167
"22",0.009259,0.111111,161
"23",0.018519,0.181818,164
"24",0.009259,0.111111,87
"25",0.018519,0.181818,139
"26",0.009259,0.125000,91
"27",0.055556,0.285714,485
"28",0.037037,0.235294,226
"29",0.009259,0.111111,125
"30",0.018519,0.166667,272
"31",0.009259,0.111111,154
"32",0.027778,0.200000,289
"33",0.009259,0.125000,159
"34",0.018519,0.200000,317
"35",0.009259,0.125000,180
"36",0.018519,0.166667,224
"37",0.055556,0.260870,307
"38",0.009259,0.125000,170
"39",0.018519,0.200000,255
"40",0.037037,0.250000,450
"41",0.009259,0.111111,163
"42",0.027778,0.214286,190
"43",0.009259,0.125000,82
"44",0.018519,0.166667,119
"45",0.018519,0.181818,260
"46",0.018519,0.200000,282
"47",0.009259,0.111111,77
"48",0.009259,0.125000,193
"49",0.009259,0.125000,347
"50",0.009259,0.125000,104
"51",0.027778,0.200000,436
"52",0.027778,0.214286,238
"53",0.009259,0.111111,115
"54",0.009259,0.111111,147
"55",0.018519,0.166667,141
"56",0.009259,0.111111,72
"57",0.009259,0.111111,118
"58",0.009259,0.111111,68
"59",0.009259,0.111111,156
"60",0.018519,0.200000,226
"61",0.027778,0.214286,241
"62",0.009259,0.111111,66
"63",0.018519,0.200000,229
"64",0.009259,0.111111,88
"65",0.046296,0.263158,390
"66",0.009259,0.111111,64
"67",0.009259,0.111111,153
"68",0.018519,0.181818,194
"69",0.009259,0.111111,112
"70",0.009259,0.111111,200
"71",0.009259,0.111111,69
"72",0.009259,0.125000,69
"73",0.009259,0.125000,298
"74",0.009259,0.125000,66
"75",0.018519,0.166667,104
"76",0.027778,0.214286,235
"77",0.009259,0.125000,55
