"","V1","V2","V3"
"1",0.048485,0.307692,454
"2",0.030303,0.294118,388
"3",0.012121,0.166667,64
"4",0.006061,0.125000,94
"5",0.006061,0.125000,170
"6",0.006061,0.111111,174
"7",0.006061,0.125000,142
"8",0.042424,0.318182,451
"9",0.018182,0.230769,263
"10",0.024242,0.266667,325
"11",0.006061,0.111111,144
"12",0.030303,0.263158,263
"13",0.006061,0.111111,95
"14",0.012121,0.200000,105
"15",0.018182,0.250000,357
"16",0.036364,0.315789,362
"17",0.006061,0.111111,85
"18",0.006061,0.125000,71
"19",0.030303,0.250000,257
"20",0.018182,0.230769,251
"21",0.006061,0.111111,82
"22",0.006061,0.125000,308
"23",0.048485,0.285714,680
"24",0.018182,0.214286,231
"25",0.006061,0.111111,80
"26",0.012121,0.181818,193
"27",0.018182,0.230769,488
"28",0.042424,0.304348,906
"29",0.018182,0.230769,396
"30",0.006061,0.125000,196
"31",0.012121,0.181818,238
"32",0.006061,0.125000,77
"33",0.030303,0.277778,241
"34",0.018182,0.214286,503
"35",0.012121,0.200000,273
"36",0.012121,0.200000,196
"37",0.012121,0.166667,88
"38",0.018182,0.230769,152
"39",0.012121,0.166667,328
"40",0.006061,0.111111,95
"41",0.006061,0.125000,64
"42",0.006061,0.125000,188
"43",0.012121,0.181818,306
"44",0.006061,0.111111,212
"45",0.006061,0.125000,248
"46",0.006061,0.125000,139
"47",0.066667,0.323529,507
"48",0.012121,0.181818,177
"49",0.006061,0.111111,120
"50",0.006061,0.125000,76
"51",0.042424,0.304348,364
"52",0.024242,0.250000,179
"53",0.006061,0.125000,280
"54",0.006061,0.125000,91
"55",0.006061,0.111111,105
"56",0.060606,0.333333,556
"57",0.042424,0.333333,321
"58",0.012121,0.200000,121
"59",0.006061,0.111111,28
"60",0.066667,0.314286,338
"61",0.036364,0.285714,321
"62",0.042424,0.318182,394
"63",0.018182,0.230769,419
"64",0.024242,0.250000,424
"65",0.006061,0.111111,105
"66",0.006061,0.125000,150
"67",0.012121,0.181818,311
"68",0.006061,0.111111,313
"69",0.078788,0.342105,830
"70",0.036364,0.285714,347
"71",0.024242,0.250000,434
"72",0.012121,0.200000,317
"73",0.018182,0.214286,299
"74",0.024242,0.250000,295
"75",0.012121,0.200000,358
"76",0.024242,0.250000,123
"77",0.006061,0.125000,228
"78",0.012121,0.181818,347
"79",0.018182,0.230769,69
"80",0.006061,0.111111,109
"81",0.006061,0.111111,166
"82",0.006061,0.125000,146
"83",0.018182,0.214286,187
"84",0.006061,0.125000,205
"85",0.048485,0.307692,478
"86",0.012121,0.181818,133
"87",0.036364,0.285714,393
"88",0.042424,0.318182,448
"89",0.012121,0.181818,95
"90",0.012121,0.166667,316
"91",0.030303,0.263158,307
"92",0.030303,0.263158,237
"93",0.018182,0.230769,462
"94",0.006061,0.111111,65
"95",0.006061,0.125000,54
"96",0.006061,0.111111,85
"97",0.006061,0.111111,166
"98",0.012121,0.181818,156
"99",0.018182,0.230769,259
"100",0.006061,0.111111,183
"101",0.012121,0.181818,291
"102",0.018182,0.230769,164
"103",0.012121,0.166667,235
"104",0.030303,0.263158,356
"105",0.036364,0.260870,278
"106",0.012121,0.181818,240
"107",0.030303,0.277778,619
"108",0.006061,0.111111,225
"109",0.006061,0.125000,18
"110",0.006061,0.111111,78
"111",0.066667,0.323529,616
"112",0.006061,0.111111,281
"113",0.006061,0.111111,4
"114",0.006061,0.125000,143
"115",0.012121,0.166667,267
"116",0.012121,0.181818,217
"117",0.006061,0.111111,140
"118",0.018182,0.214286,199
"119",0.006061,0.111111,212
"120",0.012121,0.181818,214
"121",0.012121,0.181818,240
"122",0.042424,0.333333,376
"123",0.006061,0.111111,77
"124",0.012121,0.166667,273
"125",0.030303,0.263158,411
"126",0.060606,0.322581,638
"127",0.012121,0.181818,295
"128",0.042424,0.291667,323
"129",0.030303,0.263158,341
"130",0.006061,0.111111,149
"131",0.006061,0.111111,231
"132",0.006061,0.125000,91
"133",0.006061,0.125000,54
"134",0.006061,0.125000,444
