"","V1","V2","V3"
"1",0.003165,0.125000,51
"2",0.003165,0.125000,269
"3",0.012658,0.250000,318
"4",0.132911,0.400000,1244
"5",0.018987,0.315789,436
"6",0.063291,0.370370,695
"7",0.056962,0.360000,735
"8",0.174051,0.369128,1313
"9",0.003165,0.111111,195
"10",0.047468,0.357143,536
"11",0.104430,0.375000,1038
"12",0.012658,0.250000,235
"13",0.079114,0.378788,867
"14",0.037975,0.307692,513
"15",0.066456,0.350000,569
"16",0.060127,0.339286,625
"17",0.022152,0.291667,504
"18",0.044304,0.333333,632
"19",0.110759,0.380435,1206
"20",0.009494,0.230769,143
"21",0.006329,0.181818,241
"22",0.205696,0.391566,857
"23",0.003165,0.111111,150
"24",0.003165,0.111111,102
"25",0.003165,0.125000,77
"26",0.142405,0.371901,1148
"27",0.003165,0.111111,36
"28",0.085443,0.375000,1528
"29",0.246835,0.386139,2257
"30",0.009494,0.250000,251
"31",0.066456,0.362069,706
"32",0.003165,0.111111,40
"33",0.104430,0.375000,1231
"34",0.066456,0.368421,577
"35",0.009494,0.200000,201
"36",0.082278,0.382353,1187
"37",0.006329,0.181818,108
"38",0.009494,0.230769,351
"39",0.015823,0.277778,317
"40",0.050633,0.363636,560
"41",0.006329,0.181818,154
"42",0.088608,0.363636,1291
"43",0.256329,0.376744,1596
"44",0.028481,0.300000,404
"45",0.047468,0.357143,803
"46",0.018987,0.315789,408
"47",0.009494,0.214286,213
"48",0.037975,0.342857,525
"49",0.069620,0.366667,849
"50",0.003165,0.111111,97
"51",0.012658,0.250000,335
"52",0.056962,0.339623,1071
"53",0.189873,0.365854,1140
"54",0.240506,0.391753,1566
"55",0.009494,0.230769,332
"56",0.069620,0.343750,801
"57",0.193038,0.396104,2100
"58",0.009494,0.214286,179
"59",0.034810,0.314286,678
"60",0.003165,0.125000,74
"61",0.028481,0.321429,343
"62",0.186709,0.385621,1766
"63",0.003165,0.111111,133
"64",0.177215,0.375839,2072
"65",0.022152,0.291667,526
"66",0.003165,0.125000,196
"67",0.006329,0.200000,158
"68",0.329114,0.393939,1371
"69",0.006329,0.181818,497
"70",0.006329,0.181818,204
"71",0.079114,0.362319,630
"72",0.148734,0.391667,1438
"73",0.101266,0.372093,792
"74",0.003165,0.111111,180
"75",0.025316,0.285714,489
"76",0.003165,0.125000,98
"77",0.015823,0.294118,454
"78",0.164557,0.390977,1058
"79",0.012658,0.235294,261
"80",0.199367,0.377246,1128
"81",0.028481,0.321429,564
"82",0.037975,0.342857,621
"83",0.003165,0.125000,293
"84",0.009494,0.230769,417
"85",0.006329,0.181818,243
"86",0.158228,0.390625,1310
"87",0.335443,0.386861,2511
"88",0.041139,0.351351,1001
"89",0.094937,0.389610,955
"90",0.009494,0.200000,237
"91",0.003165,0.125000,251
"92",0.006329,0.200000,239
"93",0.012658,0.235294,399
"94",0.193038,0.371951,1112
"95",0.037975,0.333333,326
"96",0.003165,0.111111,347
"97",0.012658,0.250000,295
"98",0.025316,0.285714,227
"99",0.009494,0.214286,131
"100",0.126582,0.363636,1035
"101",0.053797,0.333333,601
"102",0.003165,0.111111,183
"103",0.003165,0.125000,97
"104",0.018987,0.300000,477
"105",0.079114,0.347222,977
"106",0.088608,0.373333,896
"107",0.015823,0.277778,152
"108",0.012658,0.285714,178
"109",0.015823,0.250000,311
"110",0.006329,0.166667,479
"111",0.009494,0.214286,507
"112",0.028481,0.333333,673
"113",0.158228,0.378788,1580
"114",0.129747,0.390476,1554
"115",0.028481,0.333333,423
"116",0.037975,0.324324,969
"117",0.009494,0.214286,309
"118",0.056962,0.339623,857
"119",0.003165,0.111111,129
"120",0.085443,0.364865,887
"121",0.139241,0.379310,1695
"122",0.009494,0.230769,424
"123",0.009494,0.230769,73
"124",0.012658,0.250000,340
"125",0.003165,0.111111,61
"126",0.006329,0.166667,210
"127",0.018987,0.285714,555
"128",0.082278,0.393939,1155
"129",0.006329,0.181818,258
"130",0.003165,0.111111,380
"131",0.003165,0.111111,258
"132",0.028481,0.290323,344
"133",0.006329,0.166667,452
"134",0.022152,0.304348,645
"135",0.085443,0.391304,1224
"136",0.050633,0.355556,944
"137",0.085443,0.380282,577
"138",0.202532,0.376471,2743
"139",0.018987,0.285714,467
"140",0.003165,0.111111,345
"141",0.015823,0.277778,218
"142",0.018987,0.315789,540
"143",0.098101,0.378049,648
"144",0.003165,0.111111,111
"145",0.044304,0.318182,725
"146",0.009494,0.230769,288
"147",0.003165,0.111111,25
"148",0.003165,0.125000,10
"149",0.003165,0.125000,175
"150",0.003165,0.111111,195
"151",0.022152,0.280000,734
"152",0.015823,0.277778,316
"153",0.012658,0.266667,212
"154",0.009494,0.230769,268
"155",0.003165,0.111111,4
"156",0.009494,0.214286,119
"157",0.006329,0.181818,311
"158",0.009494,0.230769,354
"159",0.170886,0.380282,1667
"160",0.003165,0.125000,231
"161",0.003165,0.125000,153
"162",0.003165,0.125000,257
"163",0.003165,0.111111,99
"164",0.003165,0.125000,69
"165",0.003165,0.111111,123
"166",0.015823,0.294118,239
"167",0.003165,0.125000,87
"168",0.031646,0.303030,552
"169",0.006329,0.200000,231
"170",0.006329,0.181818,147
"171",0.044304,0.388889,440
"172",0.132911,0.392523,1275
"173",0.044304,0.350000,443
"174",0.262658,0.391509,1704
"175",0.031646,0.303030,654
"176",0.037975,0.342857,381
"177",0.009494,0.214286,434
"178",0.069620,0.360656,1138
"179",0.053797,0.361702,957
"180",0.006329,0.181818,95
"181",0.003165,0.111111,92
"182",0.003165,0.125000,298
"183",0.050633,0.372093,700
"184",0.003165,0.125000,365
"185",0.101266,0.400000,1277
"186",0.015823,0.277778,404
"187",0.031646,0.333333,390
"188",0.012658,0.235294,388
"189",0.056962,0.333333,744
"190",0.003165,0.125000,147
"191",0.006329,0.181818,429
"192",0.003165,0.125000,4
"193",0.015823,0.294118,191
"194",0.003165,0.125000,241
"195",0.208861,0.368715,1084
"196",0.012658,0.250000,466
"197",0.199367,0.370588,1378
"198",0.063291,0.350877,997
"199",0.003165,0.125000,94
"200",0.037975,0.342857,716
"201",0.063291,0.377358,566
"202",0.037975,0.300000,691
"203",0.003165,0.125000,190
