"","V1","V2","V3"
"1",0.005682,0.200000,318
"2",0.105114,0.397849,677
"3",0.008523,0.214286,148
"4",0.002841,0.125000,184
"5",0.159091,0.408759,1302
"6",0.244318,0.385650,996
"7",0.008523,0.250000,182
"8",0.002841,0.125000,314
"9",0.053977,0.380000,578
"10",0.011364,0.250000,177
"11",0.005682,0.200000,223
"12",0.002841,0.111111,438
"13",0.005682,0.200000,362
"14",0.014205,0.312500,258
"15",0.062500,0.372881,598
"16",0.034091,0.333333,557
"17",0.286932,0.392996,1812
"18",0.042614,0.365854,687
"19",0.011364,0.266667,505
"20",0.164773,0.384106,1244
"21",0.002841,0.111111,333
"22",0.008523,0.230769,200
"23",0.011364,0.266667,189
"24",0.005682,0.181818,232
"25",0.005682,0.200000,462
"26",0.232955,0.401961,1521
"27",0.116477,0.372727,1336
"28",0.005682,0.181818,333
"29",0.008523,0.214286,321
"30",0.008523,0.214286,358
"31",0.048295,0.340000,756
"32",0.170455,0.372671,1287
"33",0.053977,0.380000,914
"34",0.133523,0.382114,1307
"35",0.252841,0.393805,1734
"36",0.062500,0.354839,1204
"37",0.002841,0.111111,192
"38",0.034091,0.324324,588
"39",0.002841,0.111111,351
"40",0.005682,0.181818,292
"41",0.005682,0.181818,294
"42",0.227273,0.386473,1833
"43",0.082386,0.371795,1119
"44",0.284091,0.389105,1039
"45",0.025568,0.333333,471
"46",0.207386,0.376289,1096
"47",0.096591,0.390805,730
"48",0.093750,0.351064,869
"49",0.019886,0.304348,474
"50",0.156250,0.366667,1260
"51",0.053977,0.358491,614
"52",0.119318,0.385321,1168
"53",0.005682,0.181818,306
"54",0.144886,0.401575,1065
"55",0.289773,0.387833,2047
"56",0.252841,0.397321,1404
"57",0.107955,0.372549,806
"58",0.002841,0.125000,85
"59",0.105114,0.373737,1282
"60",0.005682,0.200000,393
"61",0.286932,0.400794,2464
"62",0.036932,0.342105,536
"63",0.028409,0.303030,542
"64",0.110795,0.367925,1748
"65",0.019886,0.318182,543
"66",0.184659,0.384615,1880
"67",0.002841,0.125000,230
"68",0.002841,0.111111,216
"69",0.096591,0.400000,615
"70",0.002841,0.111111,98
"71",0.159091,0.380952,1800
"72",0.048295,0.320755,669
"73",0.159091,0.383562,1263
"74",0.056818,0.350877,568
"75",0.008523,0.214286,186
"76",0.099432,0.388889,794
"77",0.125000,0.379310,1665
"78",0.039773,0.368421,588
"79",0.045455,0.326531,831
"80",0.119318,0.378378,1531
"81",0.034091,0.315789,598
"82",0.167614,0.404110,943
"83",0.181818,0.374269,1498
"84",0.241477,0.382883,1475
"85",0.002841,0.111111,84
"86",0.002841,0.111111,93
"87",0.005682,0.200000,415
"88",0.375000,0.396396,1521
"89",0.002841,0.111111,276
"90",0.301136,0.400000,1614
"91",0.039773,0.350000,569
"92",0.105114,0.352381,1665
"93",0.238636,0.400000,1927
"94",0.002841,0.111111,174
"95",0.005682,0.166667,92
"96",0.318182,0.377104,1368
"97",0.059659,0.375000,983
"98",0.281250,0.402439,1517
"99",0.190341,0.389535,1699
"100",0.005682,0.200000,343
"101",0.139205,0.368421,1467
"102",0.062500,0.343750,728
"103",0.039773,0.350000,581
"104",0.034091,0.352941,491
"105",0.005682,0.181818,80
"106",0.224432,0.391089,1565
"107",0.017045,0.300000,180
"108",0.142045,0.375940,1097
"109",0.400568,0.387363,1227
"110",0.059659,0.355932,732
"111",0.008523,0.230769,392
"112",0.008523,0.230769,294
"113",0.139205,0.368421,1244
"114",0.048295,0.354167,869
"115",0.153409,0.377622,1915
"116",0.002841,0.125000,4
"117",0.002841,0.125000,127
"118",0.002841,0.125000,89
"119",0.110795,0.371429,1236
"120",0.019886,0.318182,533
"121",0.039773,0.368421,505
"122",0.014205,0.263158,209
"123",0.005682,0.200000,197
"124",0.002841,0.125000,4
"125",0.153409,0.397059,1225
"126",0.014205,0.312500,230
"127",0.198864,0.388889,1248
"128",0.306818,0.380282,1997
"129",0.073864,0.366197,755
"130",0.002841,0.125000,79
"131",0.261364,0.389830,1931
"132",0.224432,0.379808,1478
"133",0.022727,0.347826,589
"134",0.204545,0.387097,1316
"135",0.107955,0.372549,1230
"136",0.028409,0.344828,436
"137",0.011364,0.250000,174
"138",0.147727,0.390977,1424
"139",0.002841,0.111111,34
"140",0.156250,0.384615,1591
"141",0.221591,0.384236,1338
"142",0.051136,0.352941,511
"143",0.002841,0.111111,128
"144",0.022727,0.320000,435
"145",0.039773,0.350000,515
"146",0.153409,0.372414,1295
"147",0.002841,0.111111,99
"148",0.204545,0.400000,1354
"149",0.306818,0.385714,1433
"150",0.002841,0.111111,239
"151",0.238636,0.387097,2112
"152",0.053977,0.333333,487
"153",0.423295,0.393140,2323
"154",0.036932,0.361111,398
"155",0.119318,0.381818,752
"156",0.215909,0.391753,1912
"157",0.264205,0.406114,2116
"158",0.002841,0.125000,85
"159",0.224432,0.389163,1288
"160",0.105114,0.373737,945
"161",0.036932,0.342105,612
"162",0.343750,0.398026,1838
"163",0.457386,0.382423,1874
"164",0.056818,0.363636,608
"165",0.099432,0.364583,1326
"166",0.315341,0.381443,1830
"167",0.036932,0.351351,711
"168",0.218750,0.390863,2211
"169",0.005682,0.166667,374
"170",0.019886,0.318182,429
"171",0.065341,0.353846,683
"172",0.002841,0.125000,254
"173",0.031250,0.305556,763
"174",0.034091,0.324324,938
"175",0.193182,0.388571,1284
"176",0.031250,0.343750,635
"177",0.002841,0.111111,73
"178",0.159091,0.383562,989
"179",0.002841,0.111111,414
"180",0.008523,0.214286,383
"181",0.250000,0.391111,1939
"182",0.002841,0.125000,94
"183",0.198864,0.370370,1393
"184",0.002841,0.111111,110
"185",0.028409,0.344828,418
"186",0.363636,0.396285,2798
"187",0.002841,0.125000,55
"188",0.485795,0.393103,2328
"189",0.042614,0.365854,727
"190",0.053977,0.358491,883
"191",0.096591,0.377778,1024
"192",0.085227,0.375000,1027
"193",0.002841,0.125000,38
"194",0.002841,0.125000,134
"195",0.292614,0.385768,2514
"196",0.008523,0.214286,445
"197",0.221591,0.393939,1000
"198",0.019886,0.304348,234
"199",0.332386,0.387417,2507
"200",0.315341,0.389474,2048
"201",0.451705,0.396509,2088
"202",0.008523,0.214286,350
"203",0.156250,0.364238,1572
"204",0.002841,0.111111,92
"205",0.125000,0.376068,1200
"206",0.028409,0.312500,461
"207",0.011364,0.266667,522
"208",0.269886,0.369650,1619
"209",0.051136,0.375000,618
"210",0.289773,0.384906,1476
"211",0.230114,0.387560,1835
"212",0.042614,0.348837,904
"213",0.028409,0.333333,412
"214",0.019886,0.304348,587
"215",0.008523,0.250000,199
"216",0.156250,0.401460,1753
"217",0.224432,0.389163,2008
"218",0.002841,0.125000,233
"219",0.198864,0.388889,1249
"220",0.017045,0.285714,296
"221",0.034091,0.333333,563
"222",0.193182,0.375691,1226
"223",0.173295,0.420690,1293
"224",0.127841,0.360000,1133
"225",0.184659,0.389222,1012
"226",0.002841,0.111111,22
"227",0.005682,0.181818,186
"228",0.232955,0.394231,2028
"229",0.019886,0.280000,513
"230",0.008523,0.214286,230
"231",0.011364,0.250000,294
"232",0.130682,0.380165,841
"233",0.232955,0.390476,1994
"234",0.017045,0.272727,395
"235",0.002841,0.125000,148
"236",0.190341,0.380682,2312
"237",0.096591,0.386364,1005
"238",0.019886,0.304348,288
"239",0.002841,0.125000,208
"240",0.019886,0.304348,380
"241",0.034091,0.333333,345
"242",0.002841,0.125000,252
"243",0.025568,0.300000,498
"244",0.002841,0.125000,59
"245",0.005682,0.200000,148
"246",0.073864,0.346667,896
"247",0.275568,0.378906,1572
"248",0.002841,0.125000,65
"249",0.031250,0.333333,484
"250",0.198864,0.378378,1223
"251",0.355114,0.389408,3353
"252",0.002841,0.125000,99
